"","X1","X2","X3"
"1",0.4,1820.8747688703,537.300713189558
"2",2.4,1926.5808022218,514.534379741649
"3",3.9,2005.86032723543,506.126390155452
"4",6.1,2120.75722828545,487.902406528947
"5",7.9,2213.63490907825,468.465587672688
"6",9.6,2301.35271871588,460.754753675493
"7",11.4,2393.35592928645,437.978372432364
"8",13.3,2490.20670021852,418.413551578052
"9",15.3,2592.32345410215,406.861135669616
"10",17.1,2685.08825976855,376.797231539535
"11",19,2783.00666574975,359.502407520524
"12",20.6,2865.33405953595,343.893555960373
"13",22.5,2962.84012989025,311.335736903715
"14",24.3,3055.21430180485,296.688853583977
"15",26.3,3159.69069049125,283.628934766579
"16",28.2,3259.88368222675,284.30393829396
"17",29.8,3344.25672789875,301.734059272964
"18",31.7,3449.1319507942,306.612335676173
"19",33.5,3549.0092836975,327.009975450622
"20",35.4,3654.51638385489,354.381868152267
"21",37.2,3754.75833617577,356.185154913031
"22",39.2,3866.13828319897,377.905138880573
"23",40.9,3959.42221932276,389.567367531759
"24",42.9,4067.71545779946,398.64132006412
"25",44.4,4148.93538665699,417.356957795454
"26",46.6,4270.5783593352,421.780000647695
"27",48.4,4370.8777356123,429.96175723675
"28",50.3,4476.26375817437,447.369241724188
"29",52.3,4584.47056768688,442.63704442207
"30",54.3,4692.67737719937,454.230967387602
"31",55.6,4762.61142787935,457.374441092241
"32",57.8,4880.17087483155,452.385877558569
"33",59.7,4981.69948810845,463.235079777736
"34",61.5,5082.63657150225,456.686962350891
"35",63.2,5178.86365451655,457.592733454879
"36",65.2,5291.45945532905,469.970300312721
"37",67,5387.83416568175,459.073906948421
"38",68.7,5478.8547254593,460.572911097473
"39",70.9,5597.48343841325,460.687494749716
"40",72.4,5679.19136420825,453.185340515947
"41",74.2,5777.24087516225,456.250484214062
"42",76.4,5895.5788979261,448.793362588087
"43",77.9,5975.67939329023,443.351272449366
"44",80.1,6093.47450921478,449.617012475206
"45",81.6,6178.2908454364,434.062734399982
"46",83.6,6291.3792937319,428.520285250106
"47",85.3,6387.0245695557,431.604882768906
"48",87.5,6507.90255768,416.454816332483
"49",89.1,6595.8138217704,419.430167036459
"50",90.8,6694.23366119629,426.136555748503
"51",92.8,6816.65804463389,441.272469752767
"52",94.7,6932.96120889961,474.256312370543
"53",96.3,7032.2005613874,483.190005154182
"54",98.5,7169.0671221095,506.452709010716
"55",100,7262.38523169275,534.876519957544
"56",102.5,7413.97514998962,547.242989869422
"57",104.7,7547.37427809088,579.714882530757
"58",107.1,7691.79937141719,591.544947618275
"59",109.3,7824.04483183981,615.345477410423
"60",112.1,7994.65077342127,631.912316795778
"61",114,8110.93786724127,651.580981145766
"62",116.4,8253.9306860768,666.781167612586
"63",118.6,8382.45639146345,679.446971395371
"64",120.8,8513.1752351699,695.529372944923
"65",123.3,8666.08073035865,709.438002602106
"66",125.8,8818.255847903,730.518085024617
"67",127.7,8932.729377341,738.502581820959
"68",130.4,9095.5056995528,762.094456257038
"69",132.6,9228.6227625647,767.101228442694
"70",134.8,9361.7398255766,786.585651425762
"71",137.3,9514.70729168878,789.886118896038
"72",139.5,9649.44860162112,806.056732876354
"73",141.6,9775.71546756191,810.689142747693
"74",144.1,9925.15896905591,823.882959376027
"75",146.6,10076.3207233397,830.530675610105
"76",149,10222.3638639586,841.018932509006
"77",151,10344.7198295307,849.27026570899
"78",153.4,10492.3310062848,858.894550778559
"79",155.9,10645.1886804398,872.789868487452
"80",158.1,10778.2892255159,878.083555050536
"81",160.3,10911.7575934957,892.516673474993
"82",162.7,11059.9007713531,895.246698681546
"83",164.9,11195.698684389,911.390653862574
"84",167.4,11348.03119663,912.071378100484
"85",169.9,11500.2810714531,927.758485264188
"86",171.8,11618.6674904573,924.044728434715
"87",174,11755.91867536,931.402629619757
"88",176.4,11903.6047341554,936.481752461201
"89",178.9,12055.9246565964,944.024149581151
"90",181.4,12207.5369878795,948.782282797209
"91",183.3,12322.3398266489,951.894851846671
"92",185.8,12473.9494990964,960.484362932464
"93",188.2,12620.623528163,964.337098114092
"94",190.4,12754.9643378634,975.492093221655
"95",192.6,12888.8084213165,974.340824841667
"96",195.1,13040.2811188993,985.832509937243
"97",197.3,13160.4224628467,985.190355738755
"98",200,13307.8686576911,997.223581045033
"99",203.4,13485.028517466,995.49546770462
"100",206.4,13640.6638124246,998.884166491789
"101",210.3,13841.9095104272,1005.39844984929
"102",214.1,14037.2164831941,1006.93714468348
"103",217.9,14232.051927661,1005.93142539727
"104",220.9,14385.749143811,1008.81022720943
"105",224.8,14585.5412338758,1012.5761172026
"106",228.6,14777.7970248268,1014.52632544048
"107",232.1,14957.4215619922,1014.03129851411
"108",235.9,15154.9266148026,1015.30978947072
"109",238.5,15291.2771280905,1015.51286240886
"110",242.7,15510.813390548,1012.82602503358
"111",246.6,15713.8793156951,1014.41123728169
"112",250.4,15910.8544877868,1023.67721964956
"113",253,16043.8796029143,1021.46959652683
"114",257.3,16262.9007489975,1020.1874685959
"115",260.7,16436.072159932,1019.83903983309
"116",264.5,16632.4922295861,1021.60010970205
"117",267.9,16805.9928187526,1017.9165270689
"118",271.4,16981.4163472762,1017.1690510529
"119",275.2,17167.6470365101,1015.95387517207
"120",278.6,17339.1256797115,1007.57233871992
"121",282.5,17539.845588187,1003.78260349547
"122",286.3,17736.7501585729,1005.06762081404
"123",289.7,17911.4408900941,1007.66517633844
"124",293.6,18112.2545647831,1000.37165052975
"125",297,18285.973867483,993.411922554942
"126",300.7,18473.3283710656,988.90999289051
"127",303.3,18603.0513784216,985.555878597021
"128",306.6,18769.3857305474,983.324074732575
"129",309.9,18937.5113723675,985.673548392714
"130",312.9,19092.6821594438,977.092088501061
"131",315.8,19242.7362519914,976.836826892913
"132",318.7,19392.7326520001,972.121727714258
"133",322.4,19578.3652995015,966.845677820136
"134",325.4,19727.6052924122,966.340328922216
"135",328.7,19900.698851227,954.913552145511
"136",332,20070.6059304927,947.485466816068
"137",334.6,20202.8402503875,947.437270527095
"138",337.5,20352.7079237648,938.641010046202
