"","X1","X2","X3"
"1",392,14682.860270561,582.025305844063
"2",395,14788.8832527717,593.987547669862
"3",397,14861.6012332101,591.977045766702
"4",400,14970.6782038676,599.714957701417
"5",402,15041.1679640041,598.363189474598
"6",405,15146.9026042089,606.645946827071
"7",407,15218.2834994253,604.438250061318
"8",410,15325.35484225,611.660863983748
"9",417,15566.4228433758,619.204458549032
"10",420,15671.3316059226,628.421507315426
"11",422,15745.8899424131,626.144908589725
"12",425,15857.7274471488,633.866025190538
"13",427,15928.1363069577,632.939781593433
"14",430,16033.7495966713,641.524545770299
"15",432,16103.4858140057,637.306136643651
"16",435,16208.0901400075,640.117891642622
"17",437,16278.2511786434,637.656074569528
"18",440,16383.4927365973,643.591540246248
"19",442,16456.6838746638,642.51320495864
"20",445,16566.4705817636,651.07833634737
"21",447,16639.7311526716,648.014693811107
"22",450,16749.6220090336,654.248388337586
"23",452,16819.8393970806,650.731944807752
"24",455,16925.1654791511,654.743738018223
"25",457,16993.4517336071,653.265293753131
"26",460,17095.8811152911,659.985778730426
"27",462,17164.5203489589,656.330271458141
"28",467,17338.2045862878,658.151686990608
"29",470,17444.2926665285,665.21044445474
"30",472,17516.4909700775,661.577750090322
"31",481,17839.5801007545,663.218035061586
"32",483,17919.937964741,665.293378243555
"33",486,18040.306290983,672.329248686156
"34",488,18120.3272154938,673.965706048027
"35",496,18449.4614194808,681.614029364303
"36",498,18532.5826865112,680.315431579102
"37",503,18738.0322405623,683.378433640705
"38",513,19151.379013518,686.18408655924
"39",521,19473.922618632,683.863262465282
"40",523,19554.7168775395,681.519632738911
"41",526,19676.7908489925,682.506246695542
"42",528,19759.3502740835,680.923125591476
"43",533,19981.623398752,674.548689987957
"44",536,20123.9845523868,669.95993033802
"45",538,20222.4219268863,662.265790926623
"46",543,20457.779251888,654.050517421855
"47",548,20694.9297823418,642.614717551724
"48",551,20839.9002662468,638.293320137033
"49",556,21078.9430727045,625.454181783333
"50",558,21175.241152792,616.30730797941
"51",566,21564.7928961935,592.571830515927
"52",571,21809.4728060922,578.007169839884
"53",580,22240.5784554482,553.323929898071
"54",584,22434.8941592623,523.350749773221
"55",591,22777.1588813782,480.580702476488
"56",596,23017.6950489522,451.923873699221
"57",601,23268.4540111333,414.297633589229
"58",606,23514.4820826246,375.135251055514
"59",612,23798.2593758121,314.21480258845
"60",617,24036.4963084434,250.429418815047
"61",619,24131.6886077434,226.592699828263
"62",622,24317.5532574424,240.324196939038
"63",629,24798.5729832989,390.26128477149
"64",632,25014.4302812811,426.754317321192
"65",635,25235.6098623359,489.927817357757
"66",640,25584.0291306496,534.661530950509
"67",644,25866.5925598476,560.271105984821
"68",650,26288.7572836309,611.005096242033
"69",655,26643.9719125346,641.189251182606
"70",660,26992.2885444217,675.522851604828
"71",665,27339.5770304768,693.451463634504
"72",670,27688.112756273,705.149948253944
