Ages;mean;X0.95_inf;X0.95_sup;mean.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.95_inf.3;X0.95_sup.3
5,679191364;8,547620624;3,256758893;13,82820574;1022,508384;517,4467596;1608,379621;18,15163231;12,89218461;23,41673123;-0,328231843;-7,069392231;6,417003611
5,777240875;8,625268955;3,302255207;13,94477976;1021,244758;505,2995898;1622,766052;18,34589699;13,05940747;23,63304718;-0,272245923;-7,058672112;6,514132398
5,895578898;8,754986771;3,351983327;14,155063;1014,89228;489,398409;1632,84162;18,67617469;13,37668908;23,97006839;-0,199359839;-7,06754312;6,672228461
5,975679393;8,78201055;3,361737528;14,20255331;1025,738665;494,7008153;1650,391847;18,70704328;13,35328679;24,05733028;-0,145370143;-7,033236952;6,750567799
6,093474509;8,811657794;3,404243099;14,21874923;1027,97226;497,1494829;1652,07928;18,72253764;13,36085461;24,08083569;-0,119425969;-6,976668205;6,731537189
6,178290845;8,81997135;3,356971764;14,27653996;1026,324034;493,979225;1652,289517;18,68971817;13,28083374;24,10170131;-0,108216681;-6,996085776;6,780513573
6,260698183;8,844315596;3,331338655;14,36632883;1020,834914;495,7438701;1637,742454;18,82318742;13,35786773;24,29401378;-0,067015494;-7,081238757;6,949482542
6,38702457;8,640560829;3,164187927;14,12954999;1043,218766;510,7895026;1667,621225;18,4314532;13,037767;23,82617987;-0,184676326;-7,203112035;6,826306105
6,507902558;8,864367271;3,3817708;14,34797794;1061,283612;522,7402688;1690,356548;18,76886048;13,33491308;24,20994815;-0,121233187;-7,228765415;6,987397749
6,595813822;8,831414432;3,334965293;14,32693997;1065,599617;526,7500724;1694,42355;18,73876126;13,28954659;24,18108118;-0,158666445;-7,315585804;6,995138258
6,694233661;8,615342889;3,079072939;14,14824114;1066,237262;528,8695386;1692,855936;18,54023758;13,14169931;23,94062864;-0,374791801;-7,720466194;6,961068205
6,816658045;8,794951854;3,273247183;14,31022881;1089,819349;560,612658;1698,968437;18,71794327;13,33736605;24,09125746;-0,073848848;-6,918645379;6,776686058
6,932961209;8,451113382;2,522834402;14,37716018;1072,173293;537,3690348;1693,958388;18,24475566;12,61702711;23,86045196;-0,567021008;-8,313121959;7,191882061
7,032200561;8,393260708;2,742743154;14,04594588;1071,561602;538,6739861;1691,354669;18,38057917;12,92188207;23,83131907;-0,586403033;-8,234340754;7,073870736
7,169067122;9,284453937;4,051789169;14,51439639;998,2717648;551,2639329;1508,768092;19,68036958;14,97291192;24,38913666;0,074312792;-7,165287967;7,314021064
7,144156661;9,362743452;4,32037348;14,40758671;1018,938516;563,311893;1539,605016;19,43139328;14,53970051;24,3177137;0,776423402;-5,774775177;7,326489613
7,273661743;7,716057578;1,700650872;13,7392431;1027,238098;500,3560291;1644,425482;17,81350465;12,09811551;23,53039594;-0,683682175;-8,737157766;7,361405297
7,547374278;7,847782186;1,712509997;13,98529614;1052,094564;514,1674945;1681,422458;17,53030514;11,72982402;23,33979042;-0,769085472;-8,783728307;7,247226964
7,691799371;8,129609986;1,978924162;14,27723747;1058,119229;518,7984069;1688,479328;17,80637912;11,86473773;23,74330575;-0,528041463;-8,456335673;7,398558428
7,824044832;8,573107598;2,77270793;14,36754016;1037,913254;523,3005408;1632,867615;18,27053255;12,61631018;23,91757986;-0,444863858;-7,667058913;6,773696949
7,994650773;8,809757849;3,448448694;14,1747066;1092,754041;576,5680651;1689,710308;17,93888984;12,30361751;23,5750308;0,701969186;-5,818177232;7,231946956
8,110937867;8,83488378;3,09347859;14,58034715;1097,143397;565,6054586;1711,784247;17,99639285;12,25809807;23,72682242;0,561365311;-6,359769765;7,483033635
8,253930686;8,643143603;3,182086691;14,10986055;996,558314;543,2336321;1515,913556;18,87848105;13,89709636;23,86314425;-0,238118555;-7,55257494;7,07199896
8,382456391;9,252489253;4,048418888;14,45569004;1034,360816;564,9177289;1574,322189;18,87694259;13,8902778;23,86290764;0,623856683;-5,991525297;7,251369514
8,270271466;7,663347707;1,989429446;13,3322725;1028,18787;505,8691564;1639,477736;17,66497914;11,94970584;23,37778246;-0,596095472;-8,15118479;6,970201317
8,457734416;9,754555679;5,155609992;14,34959353;958,7940201;502,6728141;1486,819088;19,75785172;15,2675011;24,24876996;1,906443782;-4,375389623;8,194609624
8,818255848;7,210273573;1,262438459;13,15065287;1047,992962;512,1380571;1675,635755;17,09258182;11,46517586;22,71973243;-1,516960939;-9,481620649;6,452582743
8,889654743;9,667248208;5,068447144;14,2606638;997,9372124;524,1391509;1545,134412;19,48212674;15,17865155;23,79189015;1,506920377;-4,674952792;7,696679097
9,0955057;6,892837519;0,793103069;12,9951984;1022,969745;491,422114;1647,933893;16,8763876;11,29442128;22,46194144;-1,975059938;-10,29912478;6,335749542
9,228622763;7,212089737;0,748278009;13,68191834;1028,175188;497,2865082;1650,545872;16,94833543;11,16870812;22,73464817;-1,59825907;-10,07129019;6,875549027
9,113874243;9,802549648;5,095753533;14,51572425;935,5815831;492,0468182;1449,899239;19,55202794;15,02425889;24,07712775;1,823396561;-4,653716563;8,308787162
9,375293073;9,889181086;4,991780139;14,78447133;914,9057581;490,1055589;1406,535714;19,4038413;14,72623993;24,09077307;1,648876894;-4,977188333;8,270478379
9,442728663;7,911300434;2,282166533;13,54370747;900,7620065;560,6876038;1284,383271;18,87439888;14,23473997;23,51046213;-1,397714111;-9,105618523;6,308677955
9,434882674;4,729297573;-2,359758966;11,81926255;845,7540227;438,8513245;1330,220516;16,51124455;10,76159114;22,25952297;-5,820315444;-16,1501947;4,519094532
9,52653567;7,770660206;2,78185552;12,76391399;854,5415146;522,9387572;1229,772759;18,74423213;14,58620218;22,90353326;-1,17708258;-8,254944507;5,900433891
9,732719659;6,336639487;-0,58358358;13,26152118;878,1972514;472,4233911;1346,677205;17,00947621;10,94636553;23,07638398;-2,653193624;-11,60968171;6,300978674
9,940184608;5,830279455;-1,403381711;13,06402614;862,7059437;421,6227216;1385,611023;16,97248651;10,7790912;23,16920059;-4,291474535;-14,78235871;6,201641408
9,876563582;6,08952243;-1,434670086;13,61609167;838,9079622;403,2743773;1362,317752;17,01968971;10,69347996;23,34164529;-3,375486409;-13,2759897;6,527597283
9,851817502;6,435418379;-1,348015145;14,21292432;806,1152474;398,2962486;1291,42489;17,63983921;11,03411883;24,24720269;-2,901211176;-13,35361116;7,552836117
10,06055049;6,587033751;-1,281889567;14,45828454;789,0003656;369,5511107;1299,02186;17,73103433;11,0557598;24,41011017;-2,996021706;-13,62837049;7,64285627
10,18964933;6,722339726;-1,241781279;14,69040491;785,0023971;366,605569;1293,407116;17,87735294;11,07595048;24,68110677;-2,781620995;-13,28506723;7,7256807
10,29919494;6,762164975;-1,198339658;14,71690836;781,1316714;363,9293543;1288,220238;17,94430861;11,14692052;24,73994819;-2,742887283;-13,27141206;7,786208997
10,45520231;7,045265613;-0,965357659;15,05726947;780,5733256;362,0516241;1289,939161;18,18106272;11,24208124;25,1167481;-2,485321166;-12,97873383;8,014032095
10,54380055;6,869236403;-1,263933372;15,00494917;764,7470798;348,2086935;1274,023103;18,19012582;11,24555151;25,13423283;-2,79296256;-13,6503161;8,067434882
10,68990731;7,395732294;-0,67659641;15,46529483;759,3513652;340,5039243;1271,729013;18,70075353;11,63170508;25,77061985;-2,234586242;-12,92141501;8,451487661
10,86125988;7,656920568;-0,626509871;15,93489797;752,2355628;332,6828521;1265,966638;19,09852073;11,72079941;26,47160099;-2,17640559;-13,04652874;8,707853102
10,95120399;7,699117101;-0,542582102;15,94764996;748,393802;330,2634011;1260,049923;19,16142775;11,81100267;26,51308931;-2,111984857;-12,97872902;8,767445468
11,00571272;7,716925986;-0,324606437;15,77083488;740,1116019;325,9095436;1246,928524;19,30572525;12,07834813;26,53301096;-2,110097768;-12,95128079;8,736735407
11,10676633;7,837239299;-0,10496619;15,77884969;728,8283117;318,1493496;1230,82798;19,504214;12,40356986;26,60630221;-2,209173789;-13,23567267;8,828886253
11,23002202;7,869841355;-0,056117677;15,78749765;725,1974056;316,2398618;1225,926246;19,55331092;12,45747527;26,64337864;-2,166651471;-13,20113812;8,872720704
11,35272247;7,901219869;-0,001217207;15,80574855;721,6841116;313,7937602;1220,7632;19,60042253;12,51695728;26,68401366;-2,125521687;-13,16642865;8,926305367
11,47636708;8,009639134;0,150298565;15,86731524;720,2695617;313,4942992;1217,922142;19,65091107;12,59683002;26,70323356;-2,047409009;-13,06718142;8,983780176
11,59030819;7,745527202;0,064931713;15,43296076;736,0878663;350,9995348;1201,898478;19,45727353;12,54637546;26,36822584;-2,476310259;-13,10334319;8,157102815
11,7439569;7,978905053;0,418371258;15,53719579;750,6327024;354,902582;1225,382651;19,51630108;12,74536441;26,28418505;-1,898780294;-12,4450878;8,661795511
11,83019857;8,096041408;0,392817964;15,79992452;715,5559869;302,8998618;1223,739303;19,76283583;12,82339939;26,70224258;-2,032272116;-13,28279818;9,241359976
12,05933566;7,804684623;-0,243952387;15,85882318;721,5859591;306,5596449;1231,801816;19,48887368;12,41958938;26,55559261;-2,569920158;-14,10405027;8,988898836
12,16695187;7,854145861;-0,26485041;15,97854456;703,1161433;287,2919432;1221,031399;19,63450134;12,54043603;26,72970546;-2,691151986;-14,57474436;9,212363875
12,53285353;7,590086072;-1,069922826;16,25274148;718,3959591;284,2337227;1256,038393;19,63238808;12,34187374;26,93454175;-3,798786553;-16,61775244;9,058202191
12,80211224;7,646570762;-1,195372459;16,48571441;734,5661278;294,3250043;1277,655855;19,50592925;12,16355261;26,84825082;-3,660720112;-16,46731134;9,199957846
13,02988673;7,517315739;-1,379651224;16,41671855;746,4751115;301,8369816;1293,176307;19,33456182;11,98711755;26,68868028;-3,798664486;-16,60909915;9,072122522
13,21088359;7,568047865;-1,272816655;16,41703614;774,2036258;347,3539605;1290,387169;19,15345414;11,78467549;26,52065806;-3,270138017;-15,3945184;8,890366697
13,44898803;7,549044049;-1,199398385;16,29133641;789,2145528;368,5394922;1295,91707;19,06207023;11,72861353;26,39445739;-3,083592908;-14,74821899;8,588182774
13,61152697;6,308071591;-2,122352639;14,73199135;799,3392181;379,7538829;1302,494364;18,13065736;11,10015282;25,16015198;-4,053837502;-15,62446437;7,522198353
13,57629102;6,942650856;-1,029741633;14,91069296;820,6420303;432,1931591;1278,51165;18,15976751;11,40014482;24,91917477;-3,073212538;-13,44593662;7,298155102
13,81750088;6,773854027;-1,187738286;14,73897842;819,0870423;397,104179;1321,343878;18,13337081;11,3072791;24,95436522;-3,299062261;-14,26817069;7,675853258
13,97844465;6,245847517;-1,975143378;14,46652651;819,3022601;394,0441539;1328,507234;17,64699069;10,84923588;24,44633583;-3,894957339;-15,57040547;7,796851189
14,47239478;7,012068374;-2,056688466;16,07606993;799,5974208;364,1319953;1323,271017;18,84735836;11,40019373;26,29916997;-4,270911739;-16,49261075;7,964232332
14,58593233;5,902039153;-3,367725622;15,16149509;766,2870866;315,4491257;1320,587034;18,23204353;10,51120908;25,94820945;-5,828847212;-18,72422122;7,072298174
14,34675672;6,996766975;-1,124435826;15,12145588;809,2653312;364,5247224;1348,132752;17,96848038;11,01100007;24,92733783;-2,65222238;-14,04934792;8,757559797
14,75217963;7,613919857;-0,630282467;15,85433072;804,6467065;355,4602879;1350,927734;18,75266611;11,69136204;25,81162646;-3,130597721;-14,97801408;8,744617827
15,10813924;5,611325283;-3,213962493;14,42702939;788,3291385;334,8153471;1340,747993;17,86114785;10,41141849;25,3158752;-5,760379264;-18,36177207;6,845777849
14,85074574;5,411115476;-2,953721748;13,78195363;786,5467887;370,2011275;1288,984846;17,11699452;10,27636618;23,95753755;-4,526850726;-16,46128676;7,412950936
15,3112887;5,230133444;-3,455717482;13,90596681;781,3408225;334,8548155;1325,887682;17,19046871;9,919182455;24,46752404;-5,583796488;-18,52299598;7,369936912
15,5027524;5,016754034;-3,917305213;13,9565011;779,4934563;331,779998;1326,51222;17,19426251;9,804731523;24,57699851;-6,038999424;-19,05038787;6,976881723
15,82876324;5,269817347;-3,753678623;14,28451522;791,9597465;334,2593265;1350,401268;17,56085667;10,02628497;25,09548451;-6,068245007;-18,98749963;6,862420299
15,99654021;5,213841771;-3,838557649;14,25600443;793,394418;334,9817651;1352,371341;17,50253067;9,954167308;25,05558461;-6,110509424;-19,08265009;6,86455796
16,19389103;5,111446146;-3,99968454;14,21750983;796,3148402;336,6236827;1357,627604;17,39795377;9,821567404;24,96874912;-6,195680424;-19,25626964;6,868425152
16,24975277;6,64112762;-1,439755552;14,72701576;826,6029413;379,4041053;1364,780613;17,8582497;10,77615884;24,93968632;-3,335683751;-14,25075181;7,581352655
16,84564512;4,554526378;-4,498652767;13,61722895;837,6617737;368,9968165;1404,047668;16,69426719;9,17100598;24,21602445;-6,767979642;-19,52337969;5,973791861
16,92973638;4,932719451;-3,726983419;13,59777394;847,00332;395,1698751;1391,467525;16,55844296;9,492343532;23,63556609;-5,895563392;-18,1057381;6,304848786
16,54038863;6,259145182;-1,484373005;14,00636992;804,4157366;369,7523463;1331,510442;17,75359765;11,17052956;24,33248118;-3,949362114;-15,53949666;7,655721184
17,30163141;6,601837568;-2,11289312;15,31924662;840,9528374;393,0830119;1381,092936;17,60218342;10,3519923;24,84549229;-3,953992254;-15,81999846;7,909703496
17,59332839;5,223706551;-3,59440225;14,04249805;841,4522406;385,1301908;1387,603238;17,12095035;9,784428784;24,45907444;-5,884713857;-18,26120576;6,4797404
17,40074793;7,389643264;-0,679518815;15,45391791;814,2738208;375,7953983;1336,640958;18,74243871;11,77421674;25,7163539;-3,136314338;-14,55008767;8,288861457
17,77147637;6,510157027;-2,485945559;15,50980946;813,3663941;372,9354523;1341,262419;17,98209714;10,7166827;25,25003186;-4,535872176;-17,00925496;7,951873544
17,66270125;6,313679079;-2,15358234;14,77550711;805,7169824;366,4288444;1335,958857;17,99824302;10,70043068;25,29030471;-4,186411791;-16,04297139;7,682643962
17,55660719;8,133136122;0,588052268;15,67775632;797,5118685;397,7642336;1271,860092;19,39012383;12,52128246;26,25447432;-1,666281788;-11,88837113;8,56444572
18,03850882;7,751802936;-0,240038438;15,74327622;821,4450894;374,0953345;1360,965182;18,61178533;11,66953559;25,55767431;-2,597177142;-14,10341346;8,927881469
18,20412232;5,907413976;-2,523759559;14,3307316;830,6158931;373,4157078;1378,951632;17,4552916;10,51513387;24,39269335;-4,922743932;-17,25332746;7,418674103
18,05702502;7,168529965;-0,819132248;15,16372898;811,7135032;391,9741956;1314,888712;18,52568888;11,66667202;25,37985625;-2,749714169;-13,66754067;8,181588452
18,74483688;6,367171621;-2,482934491;15,21748625;820,0490799;354,0048666;1384,607391;18,02786926;10,73590967;25,312776;-4,92053226;-17,52291528;7,719951601
18,65773471;4,862308853;-3,375826596;13,09938371;781,2095916;329,7112242;1331,598359;17,3901054;10,4889857;24,3004131;-6,689565804;-19,10360409;5,718090124
18,59444634;6,454570159;-1,206126555;14,10555588;823,1885867;412,9468795;1315,250261;17,84468637;11,22033498;24,46884846;-3,824097376;-14,1015858;6,449994393
18,96930635;6,526346791;-1,799223403;14,85323252;779,3693071;322,2001045;1340,032363;18,6419812;11,57667328;25,70648723;-5,288736003;-17,71910044;7,170239171
19,18005052;5,938858688;-2,97498669;14,85347678;773,6158413;316,4077828;1335,282833;18,32545304;10,96480937;25,68358999;-5,946714609;-18,8252139;6,962750682
19,45519422;5,779155119;-3,376953391;14,92534692;783,8458741;321,6526292;1350,409313;18,10385503;10,63729098;25,57314637;-6,004079717;-19,02610039;7,042031476
19,77873539;5,54714974;-3,953180681;15,0414383;799,3160847;329,7464168;1373,743811;17,7884791;10,17657052;25,40226168;-6,069067358;-19,25463477;7,151919102
19,90778056;5,548369989;-3,992503442;15,08695407;798,1680449;328,1066235;1374,169726;17,79938438;10,16086871;25,43375696;-6,088193969;-19,31417113;7,175665786
20,05130562;5,548147534;-4,017185878;15,11745306;797,6269185;326,746426;1374,701477;17,80193037;10,14298585;25,46103578;-6,092032678;-19,34640883;7,198888813
20,2171429;5,550305468;-4,058487804;15,15827096;795,9457875;324,6483933;1373,889921;17,81686893;10,13137928;25,50344097;-6,114043302;-19,40255958;7,212286645
20,26216672;4,959765811;-4,388912093;14,30575132;792,1749078;328,5678535;1360,035005;17,32641665;9,981026596;24,66524257;-6,553597864;-19,78522801;6,69491305
20,03336464;7,246667829;-0,617063522;15,10949684;808,7602782;381,5066595;1320,354479;18,48738938;11,66980732;25,29857449;-2,910492324;-13,76751029;7,955535862
20,60577125;6,549307111;-2,676569776;15,7733972;781,591619;321,899705;1344,879086;18,52416075;11,05469506;25,99565802;-5,027622769;-18,01300468;7,999908349
20,47874295;5,261742377;-2,671672918;13,19697171;831,1357871;370,75481;1383,84844;17,7789755;10,93465739;24,62288681;-5,895873498;-17,53689071;5,766637706
20,14540673;6,618012922;-1,310771993;14,55527887;776,4145413;363,3483941;1279,398026;18,32781848;11,32278359;25,33024767;-3,227960966;-14,15570359;7,720066209
20,99261713;7,27960479;-1,711541306;16,27019815;766,3751735;306,7446042;1332,708686;19,24378579;11,61593112;26,8750082;-3,97730374;-16,18418334;8,252722616
21,06828373;7,204115624;-2,182312312;16,58436332;722,8726462;272,832187;1286,884368;19,46404609;11,52590472;27,40756523;-4,56002317;-17,15613631;8,042961886
20,8093221;5,1233713;-3,928104601;14,18223519;776,8377074;306,0610801;1363,678055;16,90298372;9,292473739;24,51063587;-4,745556726;-17,44629333;7,969573976
21,00528769;6,286839165;-2,401205786;14,98374995;753,1418306;299,6824149;1317,188138;18,04322254;10,65849944;25,43250693;-3,794113912;-15,84674013;8,265130209
20,98460993;7,131666436;-1,201559913;15,46985531;738,9232028;293,7680616;1291,422761;18,86722375;11,60743168;26,11815045;-3,053365902;-14,62225174;8,520903315
21,11272114;6,756840579;-0,578021108;14,09193467;826,8438259;390,5327558;1349,38739;17,491263;11,03327212;23,95015982;-2,27982329;-12,49492857;7,953266782
21,5114082;6,939363718;-1,295584882;15,17479415;758,4643405;307,2883225;1314,585669;18,8763378;11,72196422;26,02949165;-3,531410283;-15,14770611;8,103896016
21,57755331;6,545444506;-1,310391066;14,39485799;779,3367264;327,070703;1330,500968;18,87480194;11,8475923;25,89269146;-3,949060133;-15,21860147;7,323895209
21,58266964;6,026986688;-1,857297387;13,91204398;782,720342;361,016118;1291,51471;17,94739622;11,20828145;24,68232617;-4,015365519;-15,30929716;7,283172151
22,01487922;7,316501531;-0,857599679;15,48947601;767,5247987;310,6864936;1329,000421;19,15431457;11,98380009;26,32964483;-3,455367135;-15,19166337;8,306012487
22,10274028;7,303695074;-0,949464403;15,55679265;753,6385888;300,2024072;1313,087168;19,27995771;12,00139109;26,559416;-3,447051441;-15,13058511;8,246627732
22,3346656;7,280831139;-1,098774236;15,66100637;759,2913478;302,806742;1322,450196;19,17403395;11,82237862;26,52361635;-3,406610773;-15,11250039;8,324138469
22,40132847;7,174417716;-1,398555244;15,75076043;742,0698901;292,642646;1298,188322;19,34443555;11,976336;26,71389787;-3,987751337;-16,21018002;8,260510356
22,63278106;6,626255069;-2,484017283;15,7385302;740,2809809;290,8973302;1296,530338;19,0682127;11,5577216;26,56930716;-5,222428289;-18,33039402;7,92107228
22,78877833;6,627109824;-2,517630841;15,7702833;739,0567139;289,7309834;1296,307842;19,07773081;11,55206885;26,61264749;-5,238835871;-18,37125535;7,941172678
23,16742905;6,736660056;-2,657510411;16,13725827;762,3124732;311,7648408;1316,211923;18,82463669;11,22099527;26,42452456;-4,893033652;-17,95605329;8,203325111
23,16830093;7,115633751;-1,348290488;15,58312256;757,9039837;313,3897667;1300,86033;19,15236268;11,81842709;26,48208969;-3,896366394;-16,14473474;8,363852301
23,16760628;7,457914981;-0,851933611;15,76216997;757,8055781;318,6884956;1291,695706;19,35645529;12,05229875;26,65564312;-3,230501677;-15,23410931;8,794942051
23,36763772;7,476218105;-0,701769974;15,65617661;752,5367053;315,40637;1284,787145;19,42538622;12,16940145;26,67779793;-3,198050665;-15,14855734;8,767557126
23,58750364;7,624787819;-0,396773357;15,64794638;766,1171414;336,5707956;1283,526711;19,40440278;12,23718432;26,57070372;-2,84506471;-14,36570179;8,6832611
23,51766817;7,52375073;-0,340549454;15,38485247;776,51242;357,1166243;1277,918172;19,23975494;12,091527;26,39087254;-2,250794427;-13,26763995;8,785094967
23,76919488;7,639014335;-0,718603397;16,00159589;748,9681454;312,308534;1280,899323;19,53263855;12,14140798;26,91807147;-2,982719399;-15,12688659;9,173408807
23,94006029;7,521142964;-1,249187999;16,27814111;726,2301095;291,2300605;1260,799799;19,56018089;11,96115071;27,15357331;-3,485470746;-16,17446333;9,222871082
23,84732415;7,715150175;-2,536511326;17,97684282;649,0584948;206,4083549;1211,81448;20,05954331;11,50004279;28,62245395;-4,059373421;-18,66648;10,53439842
24,05413334;7,587044125;-2,938916228;18,09306614;641,6653129;198,2522857;1209,640757;19,91872865;11,10135987;28,73758554;-4,341822866;-19,04761292;10,3759163
24,15365895;8,1537349;-2,016536209;18,33175203;643,6685384;200,3092007;1211,333064;20,28251109;11,6535731;28,91290808;-3,281151238;-17,4009802;10,86151921
23,97388821;8,497116816;-1,235192542;18,23123998;643,3040545;199,6216682;1211,603534;20,47779864;11,92455072;29,02800765;-1,824019678;-14,98681656;11,3578926
24,27318349;8,833629324;-0,461917643;18,1331257;674,900795;218,3696715;1254,78723;20,58287889;12,2769743;28,87949833;-1,306134079;-14,13488476;11,5208295
