Age;pred.fit...1.;pred.SEP.boot...1.;pred.fit...1..1;pred.SEP.boot...1..1;pred.fit...1..2;pred.SEP.boot...1..2;pred.fit...1..3;pred.SEP.boot...1..3
2372,170192;8,958755038;3,757902905;1194,402414;309,5083063;18,79796408;2,830434082;2,72653281;4,759202199
2680,489887;9,414062916;3,628612988;1143,081419;305,1338168;18,90202209;2,881794282;2,841182813;4,818359933
3114,024206;10,83029958;3,709774064;1227,069218;316,845581;18,78898469;2,859935239;4,092316276;4,665618403
3480,988683;11,24700107;3,675069129;1258,064074;317,642141;19,13309615;2,852423864;4,333869324;4,621721357
3855,927896;12,44054672;3,574395002;1201,689591;326,01548;20,14191189;2,823657184;5,356779504;4,475359868
4226,106501;10,74751469;3,665032013;1285,287776;318,9310211;19,18988775;2,83553077;4,225999144;4,589160349
4603,065937;11,61655307;3,572629131;1305,406232;326,2114241;19,79166486;2,82371201;5,108111364;4,444382018
4978,539504;10,88924515;3,576519521;1303,592263;319,9820869;19,42575694;2,801221991;3,880412438;4,49830562
5349,782862;10,24508935;3,570033991;1340,537158;330,1245466;19,91229184;2,795674575;3,652991554;4,449090211
5707,507168;10,30773074;3,592258253;1393,423438;331,0632343;19,59012115;2,824802888;3,76610003;4,469474544
6074,03131;10,23386516;3,588095081;1421,083392;335,3514825;19,38938789;2,835912083;3,74499499;4,454943876
6437,177498;10,51036084;3,567737456;1426,690486;348,4244509;19,826835;2,846657294;3,849859356;4,39806439
6811,271863;10,83463125;3,599200389;1614,109504;351,7494398;19,43401286;2,823375894;5,008061232;4,414086058
7187,715314;10,25022794;3,558369051;1617,286092;347,6442952;18,97545173;2,817341517;4,703710132;4,411841816
7565,609299;11,01652942;3,437004554;1722,078578;348,9010213;19,54862801;2,803975481;5,777447263;4,257394592
7937,012841;9,157116326;3,556909118;1554,954847;344,1524282;18,34710148;2,783894892;4,095532174;4,392388249
8320,758891;10,7178885;3,527672318;1635,216701;344,4641075;19,15458114;2,801825726;5,343274995;4,366734359
8687,578946;9,488803066;3,615091258;1649,762325;345,1819705;17,86278143;2,833122201;3,516400234;4,481203798
9053,734641;9,634431546;3,539318053;1521,104495;340,2789803;18,59459497;2,800865746;3,171497042;4,411853101
9417,065919;8,400124147;3,57184407;1393,140438;334,1817111;18,42631099;2,780235077;2,25613486;4,464043152
9795,050971;6,576742342;3,621211873;1290,23402;325,8734299;16,930538;2,791216819;-0,928580123;4,55964646
10166,38397;3,900795129;3,602780126;1038,962747;301,7940636;15,84832135;2,748250835;-5,085333732;4,59367911
10541,28551;1,509895785;3,775406163;787,601922;283,8997785;16,05178108;2,769902208;-8,586076472;4,860785918
10407,33674;1,764512655;3,498821578;763,4722068;271,6010417;15,4916132;2,867444102;-9,521566147;4,919372168
11269,08766;0,798299411;3,802799699;750,4488854;279,5557073;15,30934284;2,787384759;-10,11045595;4,928321344
11619,98542;0,254011854;3,875178044;870,5093877;283,9236279;14,51528935;2,827435698;-9,933354752;4,969443368
11159,53887;0,679289375;3,600502813;837,9892318;268,6257148;14,87460388;2,946944661;-9,156190232;5,113233481
14682,86027;9,634927977;3,669668889;1307,025659;313,9976553;17,32516992;2,859030548;0,087036522;4,781016159
14788,88325;10,90457561;3,573289516;1279,008461;319,9270529;18,19606814;2,858431684;2,147105938;4,567418292
14861,60123;7,70227009;3,579874808;1237,193481;322,9904359;16,41974345;2,846774007;-2,01944016;4,542401656
14970,6782;6,821471633;3,608161082;1098,771262;311,8669946;16,38333224;2,840840866;-2,886147492;4,596169936
15041,16796;1,677176076;3,800141292;840,2269436;278,7607661;15,17725059;2,803218633;-9,519393641;4,978479922
15146,9026;1,980134399;3,795301126;918,5179586;281,2137598;14,71065921;2,820356697;-9,289098763;4,960219824
15218,2835;1,435435971;3,773638715;856,4626415;280,5937234;14,58930244;2,814178349;-10,27431544;4,934743034
15325,35484;0,597804951;3,845566115;815,9050904;280,794499;14,54049626;2,821732452;-11,20306215;5,075258613
15566,42284;-0,029697364;3,906032728;851,5977373;280,6256796;14,3073677;2,857033098;-11,42812654;5,141405828
15671,33161;2,179070682;3,877664631;942,1075442;280,3278083;14,9421366;2,852863331;-9,130510165;5,100599327
15745,88994;1,095037875;3,865566724;883,1341141;281,6447741;14,78870276;2,837182934;-10,00561542;5,075224989
14949,95375;1,567513303;3,617624979;828,8512024;264,798774;39,56872472;16,61952003;-9,692817767;5,126090601
15928,13631;0,989621954;3,915732838;890,8674981;279,6623291;14,40963389;2,869248911;-10,36399945;5,147499583
15085,24256;1,016825417;3,718753332;870,5204219;265,4638819;37,38026936;17,26531977;-10,14021165;5,272259896
15177,1969;2,592628103;3,645918303;814,2447572;264,0293556;47,76639251;16,85011795;-8,753316844;5,160600879
15460,34158;3,013596232;3,545547828;809,4390049;268,6396834;39,44753247;13,78533196;-8,278645929;4,932873573
16278,25118;2,313197522;3,911034154;929,140849;278,5736864;14,87902175;2,913327136;-8,493543455;5,111047217
15573,17512;2,169325076;3,697129639;825,4609865;265,3808378;47,3873265;14,72953123;-7,999466699;5,134005522
15626,2104;3,155383347;3,607027197;841,7104932;265,4168403;44,69385159;15,03185832;-8,016122388;5,018172148
15828,50512;2,31341615;3,702120536;803,5322883;265,8367481;43,08618958;13,60522117;-8,244734734;5,13231591
15746,37928;2,603064527;3,660039397;832,3758652;263,0334201;47,24786159;15,70905756;-7,749285002;5,137875155
15944,29891;3,175459317;3,654538814;862,5065415;266,9995704;46,54343274;14,51785775;-7,529836181;5,072899773
15997,4014;2,429200836;3,687808837;891,8552566;265,3506811;43,592793;14,75401693;-7,355458584;5,104357233
16116,75766;3,12447621;3,689375568;857,7886621;264,0254664;44,53672364;14,47881735;-6,882704006;5,048779791
16993,45173;1,642635509;4,040177231;852,8377078;278,4996844;15,25626894;2,989945801;-9,040282459;5,224644818
16347,47178;2,931467376;3,835262889;814,4159439;264,2111342;51,08160986;13,85128628;-7,195450707;5,245578765
16478,62992;1,990267922;3,85783479;809,3546027;266,5538617;49,52195711;13,25180878;-8,355015876;5,261250444
16247,27259;2,942840291;3,921711291;719,3902134;256,6709231;67,97482583;19,12026519;-6,801999236;5,452691334
16593,61603;4,492044691;3,925995523;771,976839;260,3192817;65,79023146;15,65916996;-5,323423027;5,289694013
17041,01619;2,001766492;4,199808364;754,3913683;269,1046869;45,26604373;10,76837501;-7,753886979;5,461833153
17128,10287;3,862448714;4,149831802;776,0965822;258,237545;54,86220981;13,49461184;-5,692502468;5,496165083
17244,05594;4,379141969;4,104586195;749,0565948;259,9789086;51,67131147;12,90314818;-5,748491039;5,409338852
17500,58552;3,860158579;4,211776288;779,2280886;263,1135313;46,41872029;11,11137563;-6,223670594;5,603821836
17327,49348;3,917969979;3,97941719;759,7758437;265,1270281;59,25436145;14,49289561;-5,738146217;5,284473617
18107,23859;2,966876214;4,11575894;794,6428031;272,317866;33,82248663;8,159981224;-7,546812318;5,296170588
18532,58269;3,033723077;4,522294968;858,8406294;274,3837995;15,77558145;3,350713433;-6,402805708;5,65711636
18068,73584;4,18932695;3,96630961;766,5406028;271,1575694;55,06625213;12,74537536;-5,522550058;5,208188579
18383,24779;3,754998816;3,95708137;790,8713864;266,7547026;53,0187225;13,34903332;-5,818328985;5,251393253
18516,76788;3,275784109;3,992778466;679,5793528;258,4383772;51,13726972;15,0637265;-6,740337161;5,35762076
18994,66383;4,808194509;4,020724695;829,0184074;268,2649092;43,57817903;10,48369969;-5,252421962;5,263460455
18749,597;3,267856134;3,928973242;794,3235546;265,2943635;61,66919086;15,30471039;-5,835109754;5,264356291
19292,36538;3,901308663;3,992467694;783,9647177;267,3730652;36,96910985;9,099037643;-6,358056705;5,237997525
19297,16283;5,776623932;4,017448632;692,7540385;264,4631391;49,3765119;11,80246851;-4,495371017;5,180893008
19614,1612;4,235902629;3,976000039;793,5769272;267,6101355;38,16054783;9,44837184;-6,048971582;5,205264078
19547,83957;2,917510124;4,033348982;789,1347126;268,3295374;45,57987182;11,74539652;-6,945854289;5,37568759
19948,27261;3,461935523;4,172621403;787,0676511;267,9571596;40,4884415;9,599719604;-6,128147461;5,450054327
20153,09027;5,233091066;4,013782519;851,6644456;267,8468156;42,3867811;9,969869543;-6,014231638;5,244849867
20590,21966;4,173402904;4,204607153;817,4811682;266,9164281;29,23273502;6,150550082;-5,3637981;5,388650531
20894,5562;2,441137379;4,244381608;895,1801484;276,0768021;25,12345042;5,627676919;-6,872935936;5,420321146
20420,37365;4,565138858;3,947420796;771,8976178;263,789245;50,67842643;12,10692194;-6,009016422;5,215504729
21058,11512;5,865667005;4,060297081;816,7731349;265,5421937;42,35942464;9,142740573;-4,053485139;5,265313821
20910,37142;5,953961973;4,141335032;753,9436724;261,7966013;59,97210033;13,96741086;-3,902352737;5,412472004
21708,62503;4,661620383;4,180597115;794,3496055;268,3803061;40,15473064;9,442062797;-5,717732879;5,523374418
21751,47448;4,322757181;4,031141171;844,4281411;267,7559268;46,93836807;10,80294707;-7,228298175;5,348803348
21705,42282;1,891956811;3,783967363;859,6979628;263,2456311;58,37718155;14,57508979;-8,35663319;5,211387359
21603,04249;3,140949392;3,730095057;805,7156991;256,3133952;59,81614276;17,6916626;-6,922354664;5,154545941
22013,97366;3,463585018;3,688006536;772,1494125;260,1630932;61,0489772;15,85794147;-6,865182398;5,075096886
22602,15557;2,163728888;4,121469975;869,3280455;264,3270047;56,55610174;13,78655787;-7,052691719;5,496245603
22679,09824;2,219730296;3,874285674;893,3796856;267,2337422;66,57485514;16,19671654;-7,368733615;5,279243397
23184,63351;2,756713296;3,861076648;903,7841084;266,2555209;46,18223661;12,01192049;-7,649242042;5,27189672
23181,24323;3,590513648;3,767568619;998,8464962;271,6636333;58,63521137;13,67011129;-6,198080914;5,144241901
23041,80889;2,996497353;3,758737142;879,8940026;267,2677789;72,03516807;17,17535136;-7,072781478;5,158875149
23832,95939;3,391694802;3,836156633;891,8837817;267,4320254;52,53002437;13,12188551;-7,324446636;5,25501793
24464,16994;3,156645517;3,773484896;981,9996082;277,5865894;38,62658527;8,832271114;-6,786724093;4,967625016
24552,90819;3,095643334;3,838236499;907,9952735;272,4006277;40,09126276;10,12266061;-6,893837122;5,126696652
24371,94775;2,596686059;3,724746085;868,8793538;265,4800724;61,29526506;15,48887826;-7,543386883;5,125474724
25530,00876;3,823242469;3,937955155;904,5119091;271,3755052;28,32267535;6,386057637;-6,401610081;5,167311138
24910,76181;2,256757686;3,797593697;912,3106734;263,3640629;64,78235149;16,78485465;-7,959716102;5,254498885
25624,40261;2,910977087;3,792837724;813,0571867;265,1880892;53,91383008;12,74462195;-7,576120188;5,177585599
26992,28854;2,290962124;4,003651005;945,2286369;279,1277155;14,71545907;3,04019597;-8,962999746;5,221035742
26263,22499;3,624449879;3,757117495;905,6578119;269,8047127;52,71188616;12,83368069;-6,300374222;5,049591395
26386,07436;2,699673869;3,78143644;837,5674527;263,9065712;55,5049584;14,70816984;-7,173065482;5,163608608
26511,37175;3,391054145;3,780998914;893,564039;263,9890016;63,34249434;16,0247288;-6,696328963;5,250127399
27105,83089;2,876106905;3,756399834;915,0806735;267,7170921;48,27193985;11,26856954;-7,215357129;5,070025685
27601,88681;4,317337128;3,691806256;967,8858681;271,3325488;40,17430846;10,42065713;-5,990311954;4,976214937
28775,32181;1,931173611;4,021782456;924,9769315;277,4516193;14,72355568;3,059872182;-8,785206519;5,176602175
27856,98251;3,698006661;3,643210286;919,2848402;265,7135317;50,55510135;13,92510552;-6,779594103;5,021487381
28287,10952;3,565785901;3,714993559;917,4257902;272,6699278;50,32386075;12,34227568;-6,516014626;5,018887163
28317,18359;2,835050591;3,738951849;841,3573753;263,0653066;48,85733061;14,34989116;-7,657559773;5,117236997
29117,02491;2,138539352;3,808893896;927,5648386;268,3621857;43,60566109;11,57891322;-8,26127773;5,2010097
29424,00511;2,652000201;3,853772394;918,6767408;269,2230937;44,49176486;11,97790541;-7,485118961;5,171683108
29688,96866;2,553986119;3,783817564;930,5092167;264,6473569;52,91436324;13,57792178;-6,776054088;5,178992844
30077,19623;2,527113481;3,823476735;858,801957;266,0807856;47,63461274;12,11367645;-7,140434161;5,198403429
31423,81316;3,189777145;3,906160213;874,8470407;277,4361286;15,92922152;2,959623743;-6,708402715;5,019235429
31088,5409;3,167070591;3,775863364;921,4598509;271,3874404;35,00283087;8,710109419;-7,435817215;5,054583188
30742,13725;2,986184923;3,707646174;888,9607804;267,4623747;48,2395333;12,03242432;-7,168806771;5,023370848
30931,64332;3,273643918;3,682585818;921,0342354;267,5189032;45,41236895;12,45566679;-6,165370381;4,998021105
31491,03337;4,192817791;3,584626645;890,4469565;271,552086;42,06090982;9,826726887;-6,807233599;4,820253468
31596,32679;3,439521224;3,706975778;852,3030766;268,4330246;44,16553475;10,995055;-7,017010583;5,025412955
31844,57127;2,492930736;3,777467989;845,0777038;268,5937857;40,92224968;10,49312921;-7,412965705;5,093282948
31077,10482;2,844266126;3,720806778;860,9688255;261,9317876;58,74723066;16,93839768;-7,204768067;5,197172821
31877,00036;4,378223061;3,64800721;869,1205215;265,9898178;49,00110758;12,37055901;-6,311894313;4,977709664
31717,09442;4,497547096;3,743772512;769,3564868;261,4056782;59,97419991;15,2753194;-6,356503226;5,140315424
32728,47679;3,032681228;3,676353488;946,6863906;272,1404632;37,08661387;9,426456634;-7,449240676;4,926056753
32347,11253;3,004508003;3,714460554;864,9118171;265,4155203;47,77849606;12,85932766;-6,858555579;5,066480834
32359,16325;2,823387289;3,86829481;861,9890814;262,8608145;56,85233255;14,58154073;-6,805137199;5,291658421
32736,37461;3,500885546;3,797289696;774,2023266;264,0888545;50,29896212;12,4457939;-7,204189597;5,1397397
33086,30614;2,974875403;3,756734869;892,0434313;269,8688598;42,81292954;11,15327476;-7,386533446;5,09585513
32910,75233;1,930652202;3,754945766;800,4192356;264,9425324;45,65206059;13,02861414;-8,242785835;5,127488735
32948,03148;2,79023505;3,792778382;777,0289503;262,5086396;62,94998595;14,71904307;-7,134011416;5,214094183
33697,16587;4,864111836;3,764876805;857,25621;265,5325594;47,66930174;10,92890163;-4,836247757;5,038253003
33796,80737;2,973441677;3,640699209;856,1969028;270,1460464;48,79297612;12,16728444;-7,284010208;4,924370601
34458,89053;3,779345996;3,557692199;935,5063023;272,2689789;37,73290049;9,135628687;-6,979003109;4,797708658
33644,91742;2,351351172;3,755916704;827,769716;263,3201168;57,43891972;16,0675946;-7,413918658;5,199135267
34283,61102;3,208259534;3,721610113;874,8243265;264,002221;47,70950827;12,63854652;-7,522338697;5,085044093
34744,16196;3,49458273;3,747457146;906,8469953;267,4762582;49,14766922;12,35509571;-6,363663651;5,090636762
35006,48812;3,181680108;3,778375706;878,5417261;265,7839839;43,92168461;11,69122845;-6,496510796;5,073787397
35702,52677;4,573130435;3,589113334;898,5324343;270,1169049;42,35328014;9,933777593;-6,270579455;4,846402449
37164,35383;3,327419465;3,740443863;978,7759394;278,5535739;15,17571959;2,885943108;-8,282679169;4,860683959
36784,64177;4,792830371;3,496373073;936,2679337;277,7341384;37,44680888;8,057872133;-7,059229789;4,667162928
36030,87739;3,23415811;3,686917439;911,4380814;266,6148286;60,89827537;14,47566102;-6,782872564;5,052247732
35901,91034;1,659739388;3,881641486;842,7545211;259,2711359;59,0291998;17,27341713;-7,963793946;5,394502347
36906,42599;3,352864118;3,821638132;823,4692916;269,3980208;52,32816535;13,28573425;-6,969973879;5,203309047
36429,01927;3,840663441;3,808364408;786,0599367;261,447923;67,86783788;18,65764865;-6,098797669;5,23111579
37232,46195;2,251451515;3,825226882;896,9410089;265,5102582;58,12976881;15,08903653;-7,053691441;5,263439967
37977,91397;2,826512675;3,846182161;896,9710595;267,6630159;43,09271951;11,75348552;-7,37982152;5,1841475
38016,6519;3,248349968;3,876768972;887,0528336;264,3953154;50,63514167;12,79477334;-7,615723442;5,302773314
38167,44432;2,663943139;3,896000955;901,2194224;262,2859129;51,69038204;14,1036911;-7,228269207;5,351261014
38363,44631;4,343527899;3,787728533;870,0664913;267,5177455;55,290909;14,51871222;-6,22024642;5,171877518
39304,09928;4,490922416;3,845216805;825,9732011;266,7088852;40,75523041;10,53628365;-6,513156673;5,146324812
39364,94025;4,120810293;3,649854012;873,762958;269,3938602;42,14036516;11,12312734;-7,633899358;4,989438345
38924,65463;4,836554248;3,778776373;878,9644744;261,8403056;57,77665256;15,12879032;-5,721443038;5,147202385
39158,70494;3,895245777;3,819968197;922,8065546;262,8814268;65,51764693;16,39677259;-6,046765128;5,225286093
39942,85861;2,226278582;3,816151188;857,7709544;260,1026775;53,71909192;15,0483065;-8,643501403;5,312349841
40231,42165;3,361200993;3,762774931;857,1956749;265,6341119;58,60509195;15,20792232;-7,349986059;5,133577688
40264,33242;2,209281861;3,807467157;846,7058582;261,2381615;55,11129378;15,87676939;-8,808055383;5,299128277
40736,28309;1,703245284;3,782862557;827,0082205;264,5988325;51,65941275;14,47353335;-9,219811625;5,199525048
41194,77722;2,346548976;3,628220183;899,4818472;264,6722712;51,61515371;13,26705514;-7,640527009;5,021613213
41228,13074;2,540304941;3,587066713;874,5493733;264,7286296;52,81223815;14,51964204;-8,606681754;5,045104322
41214,12627;2,380621271;3,619548034;906,3866285;263,3408545;53,4690602;15,54055606;-7,963582159;5,06150688
41851,67208;3,810757178;3,661862218;920,1861967;266,9572005;56,64765608;13,65950699;-7,28635833;5,0755834
42569,75723;3,751154545;3,750293455;976,5298947;269,8490424;43,46538036;11,06341223;-6,953770032;5,09654364
44283,50108;3,273684529;3,886263457;917,2908192;276,1313497;15,35339356;2,981891009;-7,386218242;5,044045606
42598,25881;3,184767958;3,721012924;885,4226825;263,9663181;55,42250154;14,24552238;-7,231560969;5,178612795
42807,26822;3,470333254;3,802553196;891,9468352;268,3775388;59,67505697;14,27353013;-6,94337615;5,169211638
42891,71685;3,366633904;3,778655015;918,9968735;266,2131878;59,96063734;15,24111652;-6,886737275;5,194481545
43021,9448;3,527186443;3,828110923;823,3112771;262,9133041;65,29133007;15,79217682;-6,672575953;5,253032466
43414,69609;4,289588064;3,645891979;934,5912377;270,9955995;60,44780092;14,63170712;-6,429382203;5,022686435
42960,80779;2,813485559;3,773627688;797,4737167;258,4127336;65,47178923;18,14977579;-8,031972401;5,274008914
43416,40299;4,98516833;3,615932681;904,8547297;265,7130175;67,4845436;17,00688086;-5,327767029;5,018515865
44092,44734;4,261006057;3,589877459;950,8056867;268,6605709;62,87659916;14,96171519;-6,08514079;4,949829394
44255,17814;3,263188612;3,548178879;942,7876548;268,4789319;62,69692978;15,28015556;-7,535574142;4,947581183
44364,1643;3,110526404;3,65439005;903,696747;260,4545663;63,34530378;15,8012236;-7,370222139;5,125071321
45120,43095;3,024926692;3,733925851;899,6245912;264,8184717;52,84180705;13,20471828;-8,071471334;5,168663177
45174,28803;3,519872548;3,608493167;959,5472557;268,4038726;59,897123;14,40919578;-7,395118676;5,009934503
45333,38751;3,334642699;3,583633111;905,8146832;265,4844157;53,10578307;14,466236;-7,795081291;4,991134425
45365,74579;3,387853547;3,47493127;957,7659205;267,6275945;58,98945534;15,42198447;-7,737907115;4,859124313
45524,14249;2,668453869;3,644962263;983,6282089;265,378718;54,93194136;15,90587733;-7,04135487;5,143188981
45505,45799;1,888530361;3,618622259;909,3493729;262,3241828;60,37616869;17,12325281;-8,508890774;5,129888249
45765,2627;2,031145235;3,643733244;866,1484693;261,2459097;60,00835722;17,11743235;-8,497268389;5,186602535
46488,32569;4,134961153;3,511680567;968,6307726;266,9670069;58,44430136;14,72963638;-6,904810443;4,891486841
47332,78888;4,471567676;3,604967729;1014,903048;272,9823408;49,20963791;11,80361227;-5,664923912;4,930967662
47270,65588;2,227135253;3,797019031;937,3696038;267,4882452;43,58752806;13,29978975;-7,953235208;5,185778071
47838,19127;3,074941773;3,735810973;876,7651702;268,4125249;50,75325503;12,26259575;-6,564676598;5,01783357
47730,54229;4,70213191;3,660915865;869,7545346;270,5262728;59,26587107;13,91500967;-5,800753323;4,975065919
49949,23597;3,585041572;3,962912139;920,1640061;276,3454187;15,58052201;3,011671832;-7,371039704;5,152802501
47644,14655;1,161372203;3,775231483;851,8601847;264,6880466;52,74541911;14,38020856;-9,492416439;5,185930662
47988,51244;4,413420257;3,732104961;835,4027457;264,8662599;60,69635099;15,36187554;-5,795555101;5,094844544
48409,69811;2,432450692;3,802459278;792,1368635;262,9660262;57,34694108;14,24238964;-8,252447435;5,216813437
48995,73747;3,003769967;3,817578248;882,7288817;263,6930167;45,51235244;12,52996648;-7,09215564;5,202947891
49122,58342;2,970326659;3,804393817;891,3080371;266,9342959;52,96940044;13,04276781;-7,574784056;5,182349082
48684,75747;3,625365993;3,726309182;879,8231896;263,6390137;61,07883478;15,82454816;-7,234182591;5,175518279
48838,4252;4,937250539;3,649568302;923,3854206;262,4689796;62,88457891;16,67306766;-5,710970107;5,04188949
50031,39075;3,257774159;3,721398814;1018,734622;268,7566566;45,0191387;12,14672267;-6,615120036;5,095904574
50299,21986;3,787702499;3,719839312;935,9862405;267,88837;46,51269945;12,00470214;-6,591042838;5,073850165
50289,1244;3,057948247;3,680075317;876,144273;265,3205576;52,62540278;14,61030985;-6,768445065;5,0740359
50621,52457;3,95661808;3,77974989;881,8946113;267,7887605;59,31588138;14,99594406;-5,906991837;5,134619213
50966,36077;2,417945169;3,886116904;813,9048688;265,7810115;51,48184686;14,03540985;-7,373421172;5,281408824
51264,31266;4,193849516;3,924401214;788,7158515;266,9170744;55,34393742;13,92909841;-5,148012433;5,251673564
51298,17492;4,15303011;3,885559428;771,3259021;264,0758368;60,39285669;14,81140075;-5,500175785;5,239663837
50753,41394;4,640849352;3,892285607;753,0861055;256,817275;73,73900169;18,19971025;-5,1632964;5,348466299
51780,981;3,883521698;3,896170421;754,6251881;262,8407963;60,40937043;15,8978832;-5,997915835;5,310915907
52610,15187;3,869955698;3,864880835;805,881081;268,0458387;51,19525753;12,79296976;-6,372164797;5,237744951
53173,32686;3,74509611;3,864558701;901,6813785;273,6276215;45,0849997;11,44807154;-6,115492972;5,15335594
53294,96315;4,257723044;3,937474912;759,9655294;262,4964404;49,48291288;12,33715251;-5,572743287;5,215465887
