;Age;predMAT.fit...1.;predMAT.SEP.boot...1.;predMAT.fit...1..1;predMAT.SEP.boot...1..1;predMAT.fit...1..2;predMAT.SEP.boot...1..2;predMAT.fit...1..3;predMAT.SEP.boot...1..3
1;1,814325939;9,85540829;3,169264636;958,0728849;273,3135235;19,47064792;3,116263021;1,018963559;4,047816972
2;1,926580802;8,845333604;3,293075738;952,068547;251,3456994;18,54798113;3,116509753;-0,172514771;4,150087372
3;2,005860327;9,639615709;3,250793676;912,6478501;254,8007295;19,62167959;3,0631641;0,535267799;4,132051924
4;2,120757228;9,682451467;3,264755196;903,4621754;253,5236914;19,52104765;3,100693018;0,739584881;4,153991835
5;2,213634909;9,176067379;3,157445494;967,6377446;244,986487;18,69138189;2,910114163;0,185431563;4,126350224
6;2,290969689;9,330318376;2,959881043;996,5783292;239,6295486;18,51218267;2,732773986;0,736191189;4,024787521
7;2,320451688;9,47314067;3,053907026;962,1187918;248,2350307;19,10399797;3,135773205;1,131109324;4,109693381
8;2,441492238;9,482018403;3,138304266;934,6810341;251,7513375;19,2811356;3,124412781;0,704829323;4,148749983
9;2,580060981;9,368014829;3,103191897;979,8332208;252,0596911;18,71766969;2,911877647;0,960453169;4,077018174
10;2,625882917;10,30052276;2,988323334;881,4386305;259,5550561;19,63717871;2,921315578;1,943878025;4,08753286
11;2,734869942;9,447411333;3,08891241;960,1258417;265,7439568;18,83449288;2,992769083;1,14490566;4,105301659
12;2,86533406;9,430578933;3,070788027;977,6920606;260,4776354;18,63657683;2,862468442;1,153766004;4,00217303
13;2,948721756;9,684002457;2,997490741;937,5218235;257,2793924;19,24069577;2,820061495;1,172998842;3,994649694
14;2,998523026;9,564791738;3,039505537;958,8425495;267,9096307;19,02344939;2,891107291;1,376616187;4,064063416
15;3,144338045;9,393814503;3,206537424;948,8006061;262,9420047;18,5107691;2,941408836;0,996016441;4,203562175
16;3,259883682;8,494956218;2,982396101;1040,966398;254,2465363;17,42593399;2,673029128;0,218333653;3,973146577
17;3,344256728;8,251761596;2,833107802;1017,207705;258,1490285;17,45570279;2,460983204;-0,323551142;3,94488621
18;3,449131951;8,43830259;2,80084831;970,0338015;270,8046291;17,69402264;2,456121413;-0,493889444;3,889189332
19;3,549009284;8,435996476;2,792159104;1048,084763;282,2069421;18,00115895;2,433070071;-0,669254832;3,868477225
20;3,607834637;8,575736713;2,761089965;1001,836613;275,5648887;18,39722283;2,499652597;-0,619167715;3,979199502
21;3,754758336;8,490690116;2,82368525;907,7934655;267,8829379;18,08843241;2,429087476;-0,743884358;3,931991192
22;3,866138283;8,491656219;2,831597178;947,7685596;251,694652;18,00255015;2,450091825;-0,231563621;3,912787286
23;3,858889962;8,658886769;2,787836404;946,7670901;255,4563968;18,51319306;2,470711456;-0,477409141;4,116422968
24;4,067715458;9,040131515;2,856595154;951,618281;252,0312182;18,4504982;2,470068934;-0,253074615;3,987627971
