"";"Ages";"optima";"mean";"Ages.1";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"Ages.2";"optima.1";"mean.1";"Ages.3";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"Ages.4";"optima.2";"mean.2";"Ages.5";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"Ages.6";"optima.3";"mean.3";"Ages.7";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3"
"15";15;11,9249624812406;11,9170984739248;15;8,81540770385193;15,0345172586293;2,82041020510255;21,0015007503752;15;476,363181590796;644,836856813401;15;341,51575787894;663,976988494248;183,216608304153;1247,33866933467;15;2,64832416208104;2,64987546377234;15;-1,16358179089545;6,46023011505753;-8,45722861430715;13,783891945973;15;20,7413706853427;20,7322582634127;15;17,9859929964982;23,4967483741871;12,6913456728364;28,7913956978489
"16";16;11,9249624812406;11,9170984739248;16;8,81540770385193;15,0345172586293;2,82041020510255;21,0015007503752;16;476,363181590796;644,836856813401;16;341,51575787894;663,976988494248;183,216608304153;1247,33866933467;16;2,64832416208104;2,64987546377234;16;-1,16358179089545;6,46023011505753;-8,45722861430715;13,783891945973;16;20,7413706853427;20,7322582634127;16;17,9859929964982;23,4967483741871;12,6913456728364;28,7913956978489
"17";17;12,2051025512756;12,1922718624776;17;9,40370185092547;15,0065032516258;3,99699849924962;20,3851925962981;17;567,238619309656;761,418791108305;17;407,473736868435;787,098549274638;219,859929964983;1464,26713356678;17;2,6783391695848;2,68712942380086;17;-0,803401700850422;6,16008004002001;-7,46673336668334;12,8234117058529;17;21,1735867933967;21,1673845871878;17;18,6073036518259;23,7128564282141;13,6908454227114;28,6293146573287
"18";18;12,2051025512756;12,1922718624776;18;9,40370185092547;15,0065032516258;3,99699849924962;20,3851925962981;18;567,238619309656;761,418791108305;18;407,473736868435;787,098549274638;219,859929964983;1464,26713356678;18;2,6783391695848;2,68712942380086;18;-0,803401700850422;6,16008004002001;-7,46673336668334;12,8234117058529;18;21,1735867933967;21,1673845871878;18;18,6073036518259;23,7128564282141;13,6908454227114;28,6293146573287
"19";19;11,7008504252126;11,704562334022;19;8,4232116058029;15,0065032516258;2,09204602301151;21,3376688344172;19;430,925462731367;619,943011025393;19;297,543771885944;625,867933966984;148,039019509756;1256,13306653327;19;2,22811405702851;2,23104106413089;19;-1,76388194097049;6,25012506253127;-9,44772386193096;13,9339669834918;19;20,6873436718359;20,6919516767128;19;17,6888444222111;23,6858429214607;11,9349674837419;29,43971985993
"20";20;11,3926963481741;11,4024485256965;20;8,14307153576788;14,6703351675838;1,86793396698349;20,9454727363682;20;445,582791395699;626,029958638746;20;313,666833416709;637,59379689845;159,764882441222;1245,87293646823;20;1,83791895947974;1,84638273769218;20;-2,12406203101551;5,82991495747874;-9,77788894447223;13,4537268634317;20;20,3901950975488;20,4033544898719;20;17,4187093546773;23,3616808404202;11,7188594297149;29,0885442721361
"21";21;12,3171585792896;12,3244101506897;21;9,20760380190095;15,4267133566783;3,24062031015508;21,3936968484242;21;442,651325662832;641,01602409615;21;303,406703351677;644,922461230616;150,970485242622;1307,43371685843;21;2,73836918459229;2,73380209477261;21;-1,04352176088044;6,49024512256128;-8,27713856928464;13,7238619309655;21;21,2816408204102;21,2908036305853;21;18,4452226113057;24,1180590295148;13,0155077538769;29,5477738869435
"22";22;12,1490745372686;12,1411205921614;22;9,01150575287644;15,2866433216608;2,98849424712356;21,3096548274137;22;432,3911955978;622,0687922459;22;297,543771885944;627,333666833418;148,039019509756;1261,995997999;22;2,61830915457729;2,60703601314672;22;-1,1935967983992;6,43021510755378;-8,51725862931466;13,7538769384692;22;21,1465732866433;21,134879839949;22;18,2291145572786;24,0370185092546;12,664332166083;29,6018009004502
"23";23;12,1770885442721;12,1772360821321;23;9,12356178089044;15,2306153076538;3,26863431715858;21,1135567783892;23;449,979989994998;646,155879001952;23;309,26963481741;652,251125562782;155,367683841922;1311,83091545773;23;2,64832416208104;2,64919976936727;23;-1,10355177588794;6,40020010005003;-8,27713856928464;13,6038019009505;23;21,2006003001501;21,2038098107362;23;18,3641820910455;24,0370185092546;12,9344672336168;29,4667333666833
"24";24;12,1210605302651;12,1190397879387;24;8,75937968984492;15,4547273636818;2,34417208604302;21,8979489744872;24;406,008004002002;601,385936567693;24;275,557778889446;600,95047523762;133,381690845424;1245,87293646823;24;2,61830915457729;2,62667697414967;24;-1,40370185092547;6,64032016008004;-9,11755877938969;14,3541770885443;24;21,0655327663832;21,070226807449;24;18,040020010005;24,0910455227614;12,2591295647824;29,871935967984
"25";25;12,2611305652826;12,2702724446091;25;9,20760380190095;15,3146573286643;3,35267633816909;21,1695847923962;25;432,3911955978;615,832309250992;25;300,47523761881;622,936468234118;152,436218109055;1238,54427213607;25;2,94847423711856;2,95410046905504;25;-0,803401700850422;6,7303651825913;-8,00700350175087;13,9339669834918;25;21,1735867933967;21,1637238325053;25;18,3641820910455;23,9829914957479;12,9614807403702;29,3586793396698
"26";26;12,0090045022511;12,0007671669598;26;8,98349174587294;15,0065032516258;3,21260630315158;20,8054027013507;26;469,03451725863;659,028584010277;26;328,324162081041;671,305652826414;168,559279639821;1314,7623811906;26;2,55827913956978;2,56543539286471;26;-1,13356678339169;6,25012506253127;-8,21710855427714;13,3336668334167;26;21,0925462731366;21,0820998219379;26;18,3101550775388;23,847923961981;13,0155077538769;29,1695847923962
"27";27;13,3536768384192;13,3564164605255;27;10,72036018009;16,0150075037519;5,62181090545273;21,0855427713857;27;438,254127063533;608,998573830541;27;309,26963481741;621,470735367685;159,764882441222;1201,90095047524;27;4,95947973986993;4,95489423886247;27;1,56778389194597;8,3511755877939;-4,94547273636818;14,8644322161081;27;22,3621810905453;22,3498548967214;27;19,8499249624812;24,8474237118559;15,0685342671336;29,6288144072036
"28";28;12,3171585792896;12,3140536819821;28;9,37568784392196;15,2306153076538;3,77288644322161;20,8334167083542;28;533,526763381692;719,444092731207;28;384,022011005504;743,126563281642;206,668334167084;1388,04902451226;28;3,00850425212607;3,01300449703583;28;-0,563281640820406;6,58029014507254;-7,43671835917959;13,4537268634317;28;21,3626813406703;21,367101172333;28;18,7963981990995;23,9559779889945;13,8259129564782;28,9264632316158
"29";29;12,1490745372686;12,1515940420695;29;9,37568784392196;14,9224612306153;4,02501250625313;20,2731365682841;29;523,266633316659;688,582678456479;29;382,55627813907;716,743371685844;212,531265632817;1298,63931965983;29;2,85842921460731;2,86209590530164;29;-0,503251625812908;6,22011005502751;-6,92646323161581;12,6733366683342;29;21,2546273136568;21,2609396562406;29;18,7153576788394;23,7938969484742;13,8259129564782;28,7103551775888
"30";30;12,2331165582791;12,2210451577957;30;9,37568784392196;15,0905452726363;3,88494247123562;20,5532766383192;30;520,335167583793;693,443218336568;30;376,693346673338;718,209104552277;205,202601300651;1325,02251125563;30;2,91845922961481;2,90440963318507;30;-0,533266633316657;6,34017008504252;-7,10655327663832;12,9434717358679;30;21,335667833917;21,3235206345085;30;18,7153576788394;23,9289644822411;13,7448724362181;28,9264632316158
"31";31;11,5327663831916;11,5266199277555;31;8,59129564782391;14,4742371185593;2,93246623311656;20,1050525262631;31;529,129564782392;693,033233472615;31;388,419209604803;722,606303151577;215,462731365684;1300,10505252626;31;1,89794897448724;1,9026941252342;31;-1,70385192596298;5,49974987493747;-8,63731865932967;12,4332166083041;31;20,6873436718359;20,7006640429879;31;18,040020010005;23,3616808404202;12,9074537268634;28,4672336168084
"32";32;12,3731865932967;12,3756625454794;32;9,71185592796398;15,0625312656328;4,58529264632316;20,1890945472736;32;510,07503751876;679,169505059558;32;369,364682341171;703,551775887945;202,271135567785;1294,24212106053;32;3,21860930465233;3,23351980240158;32;-0,0530265132566257;6,49024512256128;-6,32616308154077;12,7933966983492;32;21,4167083541771;21,4033975762368;32;18,9314657328664;23,8749374687344;14,2041020510255;28,6293146573287
"33";33;11,7848924462231;11,788537288716;33;9,26363181590795;14,3341670835418;4,38919459729865;19,1805902951476;33;542,321160580291;702,219705609162;33;401,610805402702;734,332166083042;227,188594297149;1304,50225112556;33;2,34817408704352;2,35137823473431;33;-0,683341670835418;5,37968984492246;-6,50625312656328;11,2026013006503;33;20,9844922461231;20,9808143532225;33;18,5802901450725;23,3616808404202;13,9879939969985;27,9539769884942
"34";34;12,2331165582791;12,2367691130091;34;9,65582791395698;14,8384192096048;4,64132066033017;19,8249124562281;34;517,403701850926;676,81123386434;34;379,624812406204;705,017508754378;212,531265632817;1269,32466233117;34;2,7983991995998;2,80713528864715;34;-0,293146573286641;5,91995997999;-6,26613306653326;11,8629314657329;34;21,3896948474237;21,3915908607191;34;18,9584792396198;23,847923961981;14,2311155577789;28,5482741370685
"35";35;12,6253126563282;12,6340160473572;35;9,87993996998499;15,3986993496748;4,58529264632316;20,6653326663332;35;505,677838919461;678,500294574487;35;366,433216608305;702,086043021512;197,873936968485;1300,10505252626;35;3,09854927463732;3,10646508303308;35;-0,203101550775386;6,43021510755378;-6,56628314157079;12,7933966983492;35;21,8759379689845;21,8659894158082;35;19,2826413206603;24,4692346173087;14,2851425712856;29,4667333666833
"36";36;12,0370185092546;12,0464307196425;36;9,51575787893947;14,5582791395698;4,66933466733367;19,4327163581791;36;539,389694847424;703,583592296823;36;397,213606803403;734,332166083042;221,325662831417;1316,22811405703;36;2,88844422211105;2,87933791143203;36;-0,143071535767881;5,88994497248625;-5,90595297648824;11,6828414207104;36;21,0655327663832;21,0613536192527;36;18,7153576788394;23,3886943471736;14,2041020510255;27,8999499749875
"37";37;11,6728364182091;11,6767130388452;37;8,87143571785893;14,4742371185593;3,4927463731866;19,8809404702351;37;504,212106053027;653,667230574781;37;372,296148074038;683,03151575788;209,599799899951;1216,55827913957;37;2,10805402701351;2,09641861319334;37;-1,10355177588794;5,31965982991496;-7,28664332166083;11,4727363681841;37;20,8224112056028;20,8179640017315;37;18,1750875437719;23,4697348674337;13,0695347673837;28,5482741370685
"38";38;9,54377188594297;9,54849798675918;38;5,92996498249125;13,1575787893947;-0,989494747373687;20,1050525262631;38;486,623311655829;670,022861606886;38;344,447223611807;685,962981490746;180,285142571287;1314,7623811906;38;-0,683341670835418;-0,675104686589042;38;-4,67533766883442;3,33866933466734;-12,3891945972986;11,0225112556278;38;18,688344172086;18,6788496777963;38;15,3386693346673;22,0380190095048;8,90945472736368;28,4672336168084
"39";39;5,84592296148074;5,84591558948248;39;2,34417208604302;9,31965982991496;-4,32316158079039;16,0150075037519;39;534,992496248125;711,67399226995;39;388,419209604803;738,729364682342;212,531265632817;1355,80290145073;39;-5,75587793896948;-5,76088108560037;39;-9,59779889944972;-1,943971985993;-16,9214607303652;5,37968984492246;39;15,8519259629815;15,8638578295175;39;12,7993996998499;18,9044522261131;6,93746873436718;24,7933966983492
"40";40;7,24662331165583;7,23466547952357;40;3,91295647823912;10,5802901450725;-2,50225112556278;16,9674837418709;40;521,800900450226;699,269152851329;40;375,227613806904;722,606303151577;203,736868434218;1342,61130565283;40;-4,25512756378189;-4,24429916664833;40;-7,97698849424712;-0,533266633316657;-15,1205602801401;6,64032016008004;40;16,9864932466233;16,9884886625233;40;14,0690345172586;19,903951975988;8,45022511255628;25,5227613806903
"41";41;8,17108554277139;8,16379894589855;41;4,72536268134067;11,6168084042021;-1,88594297148574;18,2281140570285;41;552,581290645324;752,580344799986;41;394,282141070536;775,372686343172;208,134067033518;1464,26713356678;41;-3,35467733866933;-3,34038292392294;41;-7,19659829914957;0,487243621810904;-14,5502751375688;7,84092046023012;41;17,6348174087044;17,6425021065679;41;14,6363181590795;20,6603301650825;8,85542771385693;26,4142071035518
"42";42;6,18209104552276;6,18525334479315;42;2,51225612806403;9,85192596298149;-4,51925962981491;16,8834417208604;42;515,937968984493;715,661643144112;42;363,501750875439;731,400700350176;189,079539769886;1412,96648324162;42;-5,27563781890946;-5,28910045037497;42;-9,2376188094047;-1,3136568284142;-16,8314157078539;6,25012506253127;42;16,2031015507754;16,1927743101607;42;12,9884942471236;19,3906953476738;6,88344172086043;25,5227613806903
"43";43;14,0260130065033;14,0247094534248;43;12,3731865932967;15,6788394197099;9,17958979489745;18,8724362181091;43;587,758879439721;735,98447986976;43;444,117058529265;776,838419209606;260,900450225114;1323,5567783892;43;5,40970485242622;5,42131682416593;43;2,97848924462231;7,84092046023012;-1,67383691845923;12,4932466233117;43;22,416208104052;22,4101337703359;43;20,9574787393697;23,847923961981;18,1750875437719;26,6303151575788
"44";44;12,2331165582791;12,2250493005642;44;9,82391195597799;14,6143071535768;5,2296148074037;19,2086043021511;44;505,677838919461;657,632321565166;44;373,761880940471;687,428714357179;209,599799899951;1225,35267633817;44;3,21860930465233;3,22172407754412;44;0,18709354677339;6,25012506253127;-5,63581790895448;12,1030515257629;44;21,1735867933967;21,1789106650269;44;18,9314657328664;23,4427213606803;14,6093046523262;27,7648824412206
"45";45;13,0175087543772;13,0243507863083;45;10,8044022011006;15,2306153076538;6,54627313656828;19,5167583791896;45;622,936468234118;774,790755370228;45;473,43171585793;820,810405202602;281,420710355179;1383,65182591296;45;4,29914957478739;4,29549166717375;45;1,47773886943472;7,12056028014007;-3,95497748874437;12,5232616308154;45;21,8489244622311;21,8566762558722;45;19,8229114557279;23,8749374687344;15,9059529764882;27,791895947974
"46";46;12,4852426213107;12,4817943648043;46;10,2441220610305;14,6983491745873;5,95797898949475;18,9844922461231;46;671,305652826414;809,9755730044;46;521,800900450226;863,316658329165;323,926963481742;1398,30915457729;46;3,57878939469735;3,58555457068731;46;0,757378689344677;6,40020010005003;-4,64532266133066;11,8329164582291;46;21,2546273136568;21,2552213889843;46;19,2286143071536;23,2806403201601;15,3386693346673;27,1705852926463
"47";47;12,9334667333667;12,9225328230417;47;10,7483741870935;15,0905452726363;6,60230115057529;19,2646323161581;47;587,758879439721;730,514904650898;47;447,048524262132;773,906953476739;265,297648824413;1303,03651825913;47;4,32916458229115;4,31604941308432;47;1,53776888444222;7,09054527263632;-3,77488744372186;12,4332166083041;47;21,7948974487244;21,8020771291412;47;19,7958979489745;23,7938969484742;15,959979989995;27,6568284142071
"48";48;13,1575787893947;13,1448886329486;48;11,0565282641321;15,2306153076538;7,05052526263132;19,2646323161581;48;600,95047523762;738,448870294754;48;460,240120060031;784,167083541772;277,023511755879;1303,03651825913;48;4,71935967983992;4,71131971091213;48;1,9879939969985;7,45072536268134;-3,26463231615808;12,6733366683342;48;21,9299649824912;21,9416676472375;48;20,0120060030015;23,847923961981;16,3111555777889;27,5487743871936
"49";49;12,9334667333667;12,9325277677113;49;10,608304152076;15,2306153076538;6,18209104552276;19,6568284142071;49;620,005002501251;781,938502452523;49;466,103051525764;825,207603801902;271,160580290146;1417,36368184092;49;3,99899949974988;4,0132705986204;49;1,05752876438219;6,94047023511756;-4,58529264632316;12,5832916458229;49;21,9299649824912;21,9188741843143;49;19,7148574287144;24,1180590295148;15,5007503751876;28,3591795897949
"50";50;12,3171585792896;12,3264206214121;50;9,82391195597799;14,8104052026013;5,03351675837919;19,6008004002001;50;534,992496248125;692,7679040278;50;395,747873936969;724,07203601801;224,257128564283;1286,91345672836;50;3,30865432716358;3,29922898359552;50;0,157078539269634;6,46023011505753;-5,90595297648824;12,5232616308154;50;21,2546273136568;21,2489768465163;50;18,9584792396198;23,5507753876938;14,5552776388194;27,9539769884942
"51";51;12,8494247123562;12,8436638629081;51;10,3561780890445;15,3146573286643;5,59379689844922;20,1050525262631;51;634,662331165584;794,479168485799;51;480,760380190096;839,864932466234;282,886443221612;1427,62381190595;51;3,84892446223112;3,84091355948488;51;0,72736368184092;6,97048524262132;-5,3056528264132;12,9734867433717;51;21,7138569284642;21,7011188083724;51;19,4177088544272;23,9829914957479;15,0415207603802;28,3861930965483
"52";52;13,0735367683842;13,0782142076458;52;11,1405702851426;15,0345172586293;7,38669334667334;18,760380190095;52;640,525262631316;747,761990800681;52;511,540770385193;803,221610805403;332,721360680341;1238,54427213607;52;4,89944972486244;4,88935816527259;52;2,31815907953977;7,4807403701851;-2,66433216608304;12,4332166083041;52;21,6058029014507;21,6041701365811;52;19,8769384692346;23,3346673336668;16,5272636318159;26,6843421710855
"53";53;12,5132566283142;12,5031159639811;53;10,0760380190095;14,9504752376188;5,39769884942471;19,6288144072036;53;611,210605302652;773,43208606588;53;458,774387193598;814,947473736869;266,763381690846;1407,10355177589;53;3,21860930465233;3,22691116817942;53;0,157078539269634;6,28014007003502;-5,72586293146573;12,1630815407704;53;21,3626813406703;21,3688394578274;53;19,1205602801401;23,6048024012006;14,7983991995998;27,9269634817409
"54";54;12,8774387193597;12,8702569336309;54;10,272136068034;15,4827413706853;5,2576288144072;20,4972486243122;54;515,937968984493;616,525399234007;54;404,542271135569;659,579789894948;253,571785892947;1050,93046523262;54;4,08904452226113;4,08084200167065;54;0,787393696848426;7,39069534767384;-5,57578789394697;13,7238619309655;54;21,767883941971;21,7664461435526;54;19,3636818409205;24,1450725362681;14,7713856928464;28,7373686843422
"55";55;11,8689344672336;11,8576665497145;55;9,40370185092547;14,3341670835418;4,66933466733367;19,0685342671336;55;634,662331165584;789,577601697692;55;482,226113056529;836,933466733367;285,817908954478;1411,50075037519;55;2,52826413206603;2,52452488992735;55;-0,503251625812908;5,55977988994498;-6,35617808904452;11,3826913456728;55;20,8224112056028;20,8301960657874;55;18,6073036518259;23,0645322661331;14,3391695847924;27,3326663331666
"56";56;11,7288644322161;11,7171988723008;56;9,06753376688344;14,3901950975488;3,96898449224612;19,4887443721861;56;526,198099049526;683,930520532287;56;386,95347673837;713,811905952977;216,928464232117;1275,1875937969;56;2,31815907953977;2,30850612911474;56;-1,01350675337669;5,61980990495248;-7,37668834417208;11,9829914957479;56;20,552276138069;20,5639891365681;56;18,1480740370185;22,9834917458729;13,5017508754377;27,6028014007004
"57";57;12,5412706353177;12,5415360406037;57;10,0200100050025;15,0625312656328;5,1735867933967;19,9089544772386;57;606,813406703352;773,02131348359;57;452,911455727865;812,016008004003;260,900450225114;1415,89794897449;57;3,12856428214107;3,13801978685111;57;0,0370185092546294;6,25012506253127;-5,93596798399199;12,2231115557779;57;21,4437218609305;21,4308512808921;57;19,0935467733867;23,7668834417209;14,6093046523262;28,2511255627814
"58";58;12,2891445722861;12,293737757977;58;9,82391195597799;14,7543771885943;5,08954477238619;19,5167583791896;58;589,224612306154;769,047914928175;58;433,856928464233;803,221610805403;241,845922961482;1439,34967483742;58;3,00850425212607;3,01977664401948;58;-0,113056528264131;6,13006503251626;-6,11605802901451;12,1330665332666;58;21,3086543271636;21,3066925254539;58;19,0395197598799;23,5507753876938;14,6903451725863;27,8999499749875
"59";59;12,1770885442721;12,1692696236755;59;9,51575787893947;14,8384192096048;4,38919459729865;19,9649824912456;59;595,087543771887;764,371607594689;59;442,651325662832;801,75587793897;252,106053026514;1410,03501750875;59;2,7983991995998;2,81014736718506;59;-0,503251625812908;6,10005002501251;-6,83641820910455;12,4632316158079;59;21,0115057528764;21,0018694998992;59;18,6073036518259;23,3886943471736;14,0150075037519;27,9809904952476
"60";60;12,6533266633317;12,6647256199404;60;10,216108054027;15,0905452726363;5,53776888444222;19,7688844422211;60;592,15607803902;739,36302239684;60;448,514257128565;782,701350675338;263,83191595798;1326,48824412206;60;3,69884942471236;3,69499077989615;60;0,637318659329665;6,76038019009505;-5,2456228114057;12,6133066533267;60;21,4977488744372;21,4933965229794;60;19,2826413206603;23,6858429214607;15,0415207603802;27,9539769884942
"61";61;12,4012006003002;12,3991735068524;61;9,65582791395698;15,1185592796398;4,44522261130565;20,3571785892946;61;600,95047523762;765,571795621385;61;448,514257128565;804,687343671837;257,968984492247;1401,24062031016;61;2,88844422211105;2,88491762963518;61;-0,503251625812908;6,28014007003502;-7,01650825412706;12,7633816908454;61;21,3626813406703;21,3701206682103;61;18,8774387193597;23,8749374687344;14,0690345172586;28,656328164082
"62";62;12,5692846423212;12,5831399020082;62;10,1880940470235;14,9504752376188;5,62181090545273;19,5447723861931;62;636,128064032017;807,735101832368;62;476,363181590796;850,125062531266;275,557778889446;1473,06153076538;62;3,4887443721861;3,47976933245869;62;0,427213606803406;6,52026013006503;-5,39569784892446;12,3431715857929;62;21,5247623811906;21,5225777983373;62;19,3366683341671;23,7128564282141;15,0955477738869;27,9269634817409
"63";63;13,0735367683842;13,0775273461388;63;9,29164582291146;16,8554277138569;2,064032016008;24,0830415207604;63;299,009504752377;498,606388210452;63;189,079539769886;474,897448724363;82,0810405202611;1112,49124562281;63;4,20910455227614;4,20153602284067;63;-0,353176588294147;8,77138569284642;-9,02751375687844;17,4757378689345;63;21,6868434217109;21,6785397436985;63;18,2831415707854;25,0635317658829;11,799899949975;31,5467733866933
"64";64;12,1210605302651;12,1255222880963;64;8,70335167583792;15,5387693846923;2,14807403701851;22,0940470235118;64;385,487743871937;575,813408890911;64;259,43471735868;573,101550775389;124,587293646824;1198,96948474237;64;2,7983991995998;2,79580068144511;64;-1,3136568284142;6,91045522761381;-9,20760380190095;14,8044022011006;64;20,9304652326163;20,9238536870154;64;17,823911955978;24,0100050025013;11,9079539769885;29,9529764882441
