;;;MAT;;;;;;WAPLS;;;;;;CREST;;;;;;;;;;;
SiteNumber;SiteName;Age Cal BP;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma_Pos;TANN_Sigma_Neg;Sigma;MTWA;MTWA_Sigma_Pos;MTWA_Sigma_Neg;Sigma;MTCO;MTCO_Sigma_Pos;MTCO_Sigma_Neg;Sigma
1;Lake Xinias;22356;5,309639859;4,226006716;10,61502233;5,998962786;-6,167593955;4,512335565;7,103695065;3,972758278;19,51233557;7,103695065;-4,384977668;5,998962786;12,11903979;2,344172086;21,89794897;9,774867704;22,92724594;21,2136068;24,64032016;1,71363914;4,305106427;1,872936468;6,701350675;2,432169959
1;Lake Xinias;22705,96;3,303628461;4,075195434;11,25982097;5,998397934;-12,43055673;5,815504005;7,850720471;3,972634237;20,81550401;7,850720471;-3,740179032;5,998397934;12,14229558;3,268634317;21,00150075;8,873661263;21,94277369;20,53826913;23,33966983;1,404504558;4,839900319;3,127563782;6,549274637;1,712336537
1;Lake Xinias;23263;0,712768088;2,50333334;10,65787034;5,998393633;-10,77163124;3,608704812;7,013156729;3,972366477;18,60870481;7,013156729;-4,342129658;5,998393633;11,91709847;2,820410205;21,00150075;9,096688265;22,63405023;21,08854427;24,19009505;1,545505959;4,813728371;2,823411706;6,815407704;1,990316665
1;Lake Xinias;23281;2,509426085;3,173588191;13,19583899;6,054010432;-9,189872105;4,475394996;8,717588024;4,016898718;19,475395;8,717588024;-1,804161012;6,054010432;12,27027244;3,352676338;21,16958479;8,917596102;22,54636485;21,26363182;23,83991996;1,282733031;5,398338451;3,811905953;6,967483742;1,586432498
1;Lake Xinias;23304;0,712768088;2,81357666;11,43413289;6,064197185;-10,77163124;3,727436453;7,742661409;4,024456005;18,72743645;7,742661409;-3,565867105;6,064197185;11,70456233;2,092046023;21,33766883;9,612516307;22,17736451;20,71335668;23,63981991;1,464007829;4,938544151;3,013506753;6,891445723;1,925037397
1;Lake Xinias;23993;3,174730415;3,29573498;11,58050955;5,998482471;-9,933428585;5,687863339;7,581495048;3,972396537;20,68786334;7,581495048;-3,419490455;5,998482471;12,00076717;3,212606303;20,8054027;8,788160867;22,63052768;21,1885943;24,09004502;1,441933388;5,009968801;3,089544772;6,929464732;1,920424028
1;Lake Xinias;24071;0,712768088;3,338754641;9,671288961;5,999069813;-10,77163124;4,169984117;6,246497709;3,972785324;19,16998412;6,246497709;-5,328711039;5,999069813;11,40244853;1,867933967;20,94547274;9,534514563;22,47697933;20,98849425;23,989995;1,488485083;5,223473218;3,317658829;7,157578789;1,905814389
1;Lake Xinias;24294;5,309639859;4,34584674;10,53765249;5,998404946;-6,167593955;5,038737705;7,013085751;3,972328586;20,0387377;7,013085751;-4,462347513;5,998404946;12,19227186;3,996998499;20,3851926;8,195273361;22,1949844;20,98849425;23,41470735;1,206490152;5,256933286;3,659829915;6,891445723;1,597103371
2;Cova de les Malladetes;19686;13,953578;2,888147919;14,611799;5,998290067;6,744037948;4,071999323;9,474003674;3,972344278;19,07199932;9,474003674;-0,388201001;5,998290067;13,35641646;5,621810905;21,08554277;7,734605555;22,25324456;21,2136068;23,31465733;1,039637756;5,731033919;4,534267134;6,929464732;1,196766785
3;Navarres-1;19104,03;10,58362363;2,733416097;8,583447349;5,998742033;0,432104379;4,234233972;5,710102203;3,972379178;19,23423397;5,710102203;-6,416552651;5,998742033;12,31405368;3,772886443;20,83341671;8,541167237;22,95364825;21,41370685;24,51525763;1,539941393;3,807287553;1,606803402;5,978989495;2,200484152
3;Navarres-2;19142,29;8,127386068;2,405680214;10,81891721;5,998795989;-0,244078202;3,172586169;7,079878199;3,972596219;18,17258617;7,079878199;-4,181082786;5,998795989;11,78853729;4,389194597;19,1805903;7,399342693;21,93433958;20,8134067;23,03951976;1,120932879;5,147838063;3,773886943;6,549274637;1,37395112
3;Navarres-1;20339;8,127386068;2,409927274;10,59748183;5,998785675;-0,244078202;2,969642907;7,043058036;3,972453406;17,96964291;7,043058036;-4,402518171;5,998785675;12,15159404;4,025012506;20,27313657;8,126581534;22,24402123;20,96348174;23,51475738;1,280539493;4,707123273;3,013506753;6,397198599;1,693616519
