Place;Deg_Lon;Deg_Lat;altitude;Biome;TANN;PANN;MTCO;MTWA
AlbaSanchez_a32;-4,9841;36,72651;1972;COCO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a33;-4,99253;36,72632;662;COCO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a34;-4,97169;36,73175;1635;TAIG;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a35;-4,96644;36,72254;1635;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a36;-4,98044;36,71362;1774;TAIG;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a37;-4,98061;36,71267;1886;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a38;-5,00146;36,71493;1866;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a39;-4,99042;36,71856;1738;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a4;-5,01804;36,61151;1524;WAMX;15,00957847;742,2053951;8,935769717;22,15530078
AlbaSanchez_a40;-4,97122;36,71158;1670;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a41;-4,97412;36,70599;1831;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a42;-4,97777;36,70187;1607;WAST;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a43;-4,98389;36,70257;1799;COST;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a44;-4,988;36,70203;1786;WAST;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a45;-4,909311;36,619483;1677;COMX;15,59068998;671,5846449;9,619367917;22,53811773
AlbaSanchez_a46;-5,43012;35,24113;1786;COST;15,40816053;1032,296016;9,029969851;22,68621127
AlbaSanchez_a47;-5,429297;35,241631;2046;XERO;15,40816053;1032,296016;9,029969851;22,68621127
AlbaSanchez_a49;-5,103634;35,259856;2060;TEDE;15,33698082;747,437831;9,624759038;21,97705714
AlbaSanchez_a5;-5,03367;36,66655;1678;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a50;-5,216593;35,184338;1677;TUND;14,41722731;903,0214293;8,182251453;21,77016449
AlbaSanchez_a51;-4,50827;34,904032;1531;TUND;12,05232954;654,3788517;5,382464727;20,01644071
AlbaSanchez_a52;-4,617827;34,909996;1503;WAST;12,55524043;700,5098601;5,881046613;20,50192197
AlbaSanchez_a53;-4,653223;34,896955;1640;WAST;13,4681557;743,8655216;6,770351728;21,33669535
AlbaSanchez_a54;-4,536485;34,907986;1985;COST;12,05232954;654,3788517;5,382464727;20,01644071
AlbaSanchez_a55;-4,611571;34,849704;2016;WAST;12,55524043;700,5098601;5,881046613;20,50192197
AlbaSanchez_a57;-4,532196;34,840495;1743;COST;13,29169675;684,2447998;6,294159412;21,58215586
AlbaSanchez_a58;-4,761091;34,976196;2047;WAST;13,99537929;723,0703971;7,475479126;21,56990687
AlbaSanchez_a59;-4,820689;34,992855;1698;WAST;13,99537929;723,0703971;7,475479126;21,56990687
AlbaSanchez_a6;-5,02554;36,68877;1340;WAMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a60;-4,871389;34,996671;1266;WAST;14,57657429;755,9815036;7,944692453;22,27150663
AlbaSanchez_a61;-5,148185;35,142129;1694;TEDE;14,50039013;970,788741;8,071003596;22,04398092
AlbaSanchez_a62;-5,152082;35,141913;1642;COST;14,50039013;970,788741;8,071003596;22,04398092
AlbaSanchez_a63;-5,151044;35,139146;1725;TAIG;14,50039013;970,788741;8,071003596;22,04398092
AlbaSanchez_a64;-5,303285;35,347574;718;TUND;14,6446828;901,6026503;8,511874835;21,8219401
AlbaSanchez_a65;-5,294552;35,346624;1235;TUND;14,6446828;901,6026503;8,511874835;21,8219401
AlbaSanchez_a66;-5,292949;35,345739;1798;TUND;14,6446828;901,6026503;8,511874835;21,8219401
AlbaSanchez_a67;-4,435739;34,819963;1751;TUND;13,30054371;616,1466913;6,25760746;21,6539491
AlbaSanchez_a68;-4,46209;34,812419;1711;COST;13,29169675;684,2447998;6,294159412;21,58215586
AlbaSanchez_a69;-4,298583;34,848;1777;TUND;13,88928294;556,5923595;6,735659281;22,31439972
AlbaSanchez_a7;-5,03423;36,6904;1832;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a70;-4,321148;34,859132;1942;COST;13,09591953;567,6016581;6,236002604;21,16979726
AlbaSanchez_a71;-4,328126;34,888293;2184;XERO;13,09591953;567,6016581;6,236002604;21,16979726
AlbaSanchez_a72;-5,207276;33,424301;2282;TUND;11,53392899;736,5050715;3,945196629;20,09952037
AlbaSanchez_a73;-5,240169;33,39468;2176;TUND;12,91489299;692,991702;5,320361455;21,42673111
AlbaSanchez_a74;-5,468365;32,956078;2069;CLMX;13,5651232;664,237859;5,490466277;22,62776057
AlbaSanchez_a75;-5,337213;33,1899;1828;TUND;11,39563042;677,3259455;3,729255915;20,11324565
AlbaSanchez_a76;-5,339239;33,172825;2031;TUND;11,39563042;677,3259455;3,729255915;20,11324565
AlbaSanchez_a77;-5,346624;33,136528;2039;TUND;12,72719459;669,5271975;4,827322324;21,6766599
