Place;Biome;Deg_Lon;Deg_Lat;altitude;TANN;PANN;MTCO;MTWA
EPDcoretop_E921;TEFO;7.833333;45.816944;137;1.70242822170257;1553.818331;-7.15842167536417;10.9025443394979
EPDcoretop_E924;TEFO;-4.430034;55.092103;1225;7.66008593638736;1357.973907;2.89482998847961;12.7809419631957
EPDcoretop_E925;TEFO;-7.288235;57.324041;458;9.26595950126646;1390.770614;6.4245327313741;12.4967358907063
EPDcoretop_E930;TEFO;7.761111;45.684722;430;4.50354735056558;1352.243149;-4.64880752563476;14.0359277725219
EPDcoretop_E932;TEFO;15.6;40.944444;870;12.465045372645;686.853776;4.44637823104858;21.3474464416504
EPDcoretop_E941;TEFO;-5.343611;57.558889;150;6.37646925449369;1737.788665;1.69063035647074;11.3643735249836
EPDcoretop_E948;TEFO;-3.8;57.083333;1040;4.9155173152685;1117.880287;-0.398910184701283;10.7138093312581
EPDcoretop_E949;TEFO;30.875;38.275;969;11.2991982380238;490.8756164;1.05251585630079;21.4911130269368
EPDcoretop_E950;TEFO;14.9;49.216667;102;8.11790424088634;758.4851038;-1.20180505514145;17.2647374471028
EPDcoretop_E957;TEFO;21.418056;53.768056;25;7.41101141770679;715.5582297;-2.44635144869486;17.2426471710205
EPDcoretop_E959;TEFO;6.27;49.691667;660;8.90516764422255;844.1562152;1.38563960790634;16.62229347229
EPDcoretop_E963;TEFO;-1.893056;47.018889;800;12.4064573844274;721.4343417;6.5738886197408;18.4860833485921
EPDcoretop_E968;TEFO;27.233333;58.4;35;5.82733798523742;732.4911189;-4.84917243321736;17.0607789357503
EPDcoretop_E969;TEFO;-4.436111;43.215556;1053;9.77091244856513;1391.18155;4.41002241770426;15.3025560379028
EPDcoretop_E972;TEFO;-0.253333;48.519444;853;10.3240349292755;787.4872363;4.14670737584431;16.7835200627644
EPDcoretop_E973;TEFO;24.833333;42.833333;980;7.53338928023973;1053.86139;-1.74694542090098;16.5942227045695
EPDcoretop_E978;TEFO;12.3;47.65;1115;5.51178560654321;1749.326112;-3.60467950503031;14.4641482035319
EPDcoretop_E980;TEFO;7.543333;46.645833;7;2.91072153051693;1856.461558;-5.88748121261596;11.6355549494425
EPDcoretop_E981;WTFO;33.733333;37.5;135;12.4375536640485;270.554398;1.93404857317606;23.0925731658935
EPDcoretop_E982;TEFO;7.654167;45.858333;128;-1.29132105410099;1379.556642;-10.108367284139;7.81857347488403
EPDcoretop_E986;TEFO;6;59.816667;91;3.70064894109963;2554.897728;-4.10256147384643;12.0238253275553
